stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,27.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,127.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.71,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.35,6.66,0,0,14.3,0,4.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.62,0,0,0,8.25,0,0,0,10.39,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,15.87,2.4,3.2,0,0,0,5.5,1.03,0,0,0.96,0,0,0,4.31,0,0,7.37,67.48,10.12,0,0,0.98,0,2.1,7.39,0,1.22,16.54,28.87,0,0,0,0,0
 24-34,0,0,0,0,9.48,0.61,12.19,0,0,0,1.4,0,0,0,0,0,0,0,12.4,0,0,6.55,116.67,0,3.66,1.39,0,0,20.78,0,0.63,0,1.92,42.59,0,0,1.69,0,0
 36-46,0,0,0,0,0,0,17.51,0,0,0,4.98,0,0,0,0,0,0,0,19.66,0,0,2.78,84.88,0,4.27,0.77,0,0,3.82,0,0,0,0,25.36,0,0,0.73,0,0
 48-58,0,0,0,0,1.41,0.82,36.25,0,2.36,1.15,20.47,0,0,0,0.55,0,0,0,22.95,0,0.46,2.06,100.6,0,2.68,0,0,0,1.32,0,0,0,0,18.04,0,0,0,0,0
 60-70,0,0,0,0,10.64,0.57,69.73,0,0,0,10.43,1.02,0,0,0,0.81,0,1.64,12.65,0,0.7,4.43,109.08,0,0.99,0,0,0,2.24,0,1.06,0,0,16.32,0,0,0.64,0,0
 72-82,0,0,0,0.56,6.38,27.74,75.03,0,0,2.14,13.49,0,0,0,0,0,0,1.32,28.55,0,1.81,4.87,153.11,0,4.35,1.06,0,0.77,0.6,0,0,0,0,11.14,0,0,0,4.97,2.26
 84-94,0,0,0,0,0.66,45.81,42.48,0,0,3.17,13.12,1.48,0,0,1.08,1.02,0,6.83,9.66,0,0,6.7,69.99,0,0,0,0,0,3.5,0,0,0,0,7.2,0,1.24,0.55,0,0
 96-106,0,0,0,0,2.35,34.27,54.47,0,0,0,5.33,2.06,0.87,1.36,0.56,0,0.94,2.3,13.79,0.71,0.58,1.97,134.35,0,2.03,3.18,0,0,5.88,0,0,0,0,0,4.97,0,0,0,0
108-118,0,0,0.52,0,2.41,33.77,50.52,1.32,0,0,18.36,0,0,0,1.18,0,0,1.59,15.21,0,0,1.71,119.21,0,0.66,1.81,0,0,1.01,0,0,0,0,3.31,1.12,0,1.44,1.21,0
120,0,0,0,0,0,13.04,49.93,0,0,0,2.04,0,0,0,0,0,0,0,0,0,7.16,3.19,132.93,0,0,2.38,0,0,4.7,0,0,0,0,12.71,0,0,0,0,0
