stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,25.11,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,31.48,0,0,16.73,0,0,0,0,0
 14-21,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0.89,0,5.58,7.73,0,0
 24-34,0,0,0,1.15,2.87,0,4.51,0,0.7,0.62,3.01,0,0,0,0,0,14.98,0,0
 36-46,0,0,0,1.05,3.18,0,0,0,0,0,11.31,0,0,0,0,2.87,14.19,0,0
 48-58,0,0,0,0,1.92,0,0,1.39,0,0.48,10.71,0,0,0,0,0,13.38,0,0.92
 60-70,0,0,0,0.68,5.29,2.89,0,0,0,0,22.5,0,1.42,0,0,0.68,7.66,0,0
 72-82,0,0,0,2.44,1.99,6.03,0,0,0.92,0,12.56,1.33,0.58,0,0,0,5.53,0.89,0
 84-94,0,5.71,0,2.96,8.37,7.56,0,0,9.77,0,1.12,0,0,0,0,2.39,5.52,0,0
 96-106,0,0,5.86,0.61,5.5,27.07,0,0,6.2,0,4.93,0,1.24,0,0.69,0,0,0,0
108-118,1.39,0,0,0,3.92,19.06,0,3.93,2.8,0,1.4,0,1.06,0,0,0,4.82,0,0
120,0,1.18,0,0,0,11.02,0,0,0,0,1.35,0,8.31,0,0,0,0,0,0
