stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,267.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.37,107.72,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,22.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.27,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.15,0,0,0,52.94,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.66,7.59,0,0,0,0,0,0,1.92,0,0,5.49,0,0,0,0,0,2.46,0,0,8.21,6.63,0.85,0,0.9,0,0,4.09,7.23,0,4.88,5.09,0,0,0,0
 24-34,0,0,0,0,1.62,0.67,0,1.41,0,1.11,0.61,0,0,0,0,5.22,0,0,0,0,3.53,5.46,0,0,5.42,35.66,0,1.4,0,0,0,14.2,0,0,0.68,17.92,0,0,0,5.4
 36-46,0,0,0,0,0,0,0,5.18,0,0,0,5.42,0,0,0,2.68,0,0,1.41,0,0,10.69,0,0,0.64,108.89,0,3.58,0.83,0,0,25.7,0,2.15,0,20.33,0,2.2,0,21.48
 48-58,0,0,0,0,2.72,0,0,10.71,0.53,0.39,0.37,9.42,0,0,0,1.58,0,0,0,0,9.48,11.9,0,0,0,102.17,0,0.81,4.99,0,0,8.5,0,0,0,18.35,0,2.99,0,16.1
 60-70,0,0,0,0,1.01,0,0,24.53,0,4.07,0,9.18,0,0,0,11.8,0.56,0,1.32,0,0,39.54,4.53,0.89,1.68,117.1,0,0,0,0,0,41.29,0,0,0,21.35,0.6,0,0,13.72
 72-82,0,0,1.83,0,3.24,0,0,14.09,0,0.81,0.96,18.94,0,0,0.75,1.75,1.35,0,0,0,0,34.78,0,2.58,0,89.03,0,1.22,2.63,0,0,10.96,0,0,0,12.18,1.66,0.66,1.25,2.76
 84-94,0,0,0,0,0,0,11.01,15.18,0,0,1.17,9.07,0.67,0,0,7.24,0,0.6,0,0,0,15.98,0.76,1.51,1.14,69.41,0,0,0,0,7.18,57.18,0,0,0,1.34,1.07,1.42,0,9
 96-106,0,0,0,0,2.88,4.87,1.07,12.85,0,0,1.75,20.21,3.05,0,0.95,10.05,0,0,1.05,0,0,12.07,3.4,0,3.47,48.16,0,0,0.63,0,1.77,45.22,0,0,0,4.14,1.2,7.43,0,10.05
108-118,0,0,0,0,7.63,0,5.9,31.97,0,0.74,1.57,5.28,1.46,0,0,6.43,0,3.7,3.88,0,0,19.43,0,0,0.6,98.64,0,0,0,0,0,24.11,0,0,0,12.69,1.35,2.17,0,2.53
120,0,0,0,0,8.27,0,0,19.05,0,0,0,32.61,0,0,0,9.58,4.01,0,0,3.6,0,29.42,1.31,4.76,0,130.86,0,0,0,0,0,41.77,0,0,0,6.56,0,0,0,0
