stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67,0,0,0,0,0,0,0
 14-21,10.57,15.03,0,0,0,0,1.21,0,0,0,47.53,0,41.04,28.96,0,0,0,0,0,0,0
 24-34,1.93,0.89,0,0,0,0,0.67,1.06,0,0,62.45,0,24.76,16.49,0,0,0,0,0,2.5,0
 36-46,0,0,0,0,0.93,0,0,0.72,0,0,71.14,0.89,29.77,12.41,1.19,0,0,3.66,0,2.68,0
 48-58,0,0,4.54,0,0.47,0,0,0,7.48,0,48.18,2.09,16.11,6.92,0.38,0,0,1.98,0,5.62,0
 60-70,0,0,0,0,0.62,0,0,0,0.61,0,92.95,4.76,10.79,15.91,0,0,0,1.09,1.38,4.24,0.64
 72-82,0,0,0,0,7.29,0.61,0,0.75,1.15,0,93.79,9.27,20.4,6.33,0,2.6,0,1.01,4.53,8.17,1.72
 84-94,0.78,0,1.68,0.56,3.96,0,0,3.69,6.01,0,86.07,16.68,5.52,31.92,0,0,0,0,7.08,9.22,8.72
 96-106,0,0,9.81,0,9.88,0,0,0,4.88,0,79.57,8.79,4.56,22.62,0,1.77,0.59,0,5.6,3.4,3.07
108-118,0.42,0,1.95,0,0.73,0.84,0,1.1,5.23,2.59,132.54,6.75,6.8,16.73,0,2.81,0,0,1.65,8.45,7.81
120,0,0,4.97,0,1.88,0,0,0,4.31,0,105.5,5.31,4.56,14.03,0,5.9,0,0,0,1.14,0
