stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,259.38,2454.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.77,0,0,0,0,0,0,0,0,0
  5-6,128.43,2219.81,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.76,0,0,0,25.91,0,60.16,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.43,0,0,0,5.42,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.9,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.98,3.05,0,0,14.68,0,0,0,0,9.63,0,0,0,0,0,0
 14-21,0,0,0,0,0.84,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,1.75,1.12,6.07,1.3,0.82,5.43,0,0,0,0
 24-34,0,0,0.81,2.08,15.88,9.22,0,0.75,0,0,1.58,0,0.69,0,3.92,3.04,1.5,0.83,0,0.84,0,11.28,0,0,8.19,23.77,0,0.79,0,0,0,51.02,0,0,0,2.72,3.71,0,9.16,0,0
 36-46,0,0,0,0,0,3.66,0,0,0,0,0.84,0,0.67,0,0.99,4.26,0,0,0,0,0,2.91,1.35,0,0.81,2.28,0,0,0,0,0,22.9,0,0,1.16,0,0.94,0,3.48,0,0
 48-58,0,0,0,0,0.53,12.51,0,1.66,0,0,0.46,0.91,0,11.61,0.42,1.7,0.46,0,0,0,8.52,12.81,0,0,0.52,2.65,0,0,0,0,0,34.58,0,0,0,0,1.88,0,3.65,0,2.68
 60-70,0,0,0,0,0.57,6.94,0,1.9,0.7,1.05,0,0,0,0,0,0,0,0.67,0,0,0,4.1,0,0,0,0,0,0,0,0,0,25.24,0,0,0,0,0,0,2.57,0,0
 72-82,0,0,0.93,0,0,10.7,0,3.66,0,0,0.95,4.33,0.77,0,0.58,10.52,0,0,0,1.68,0,30.65,4.75,2.13,1.19,7,0,0,2.25,0,0,31.07,0,0,0,0,0,0,7.31,0,0
 84-94,0,0,0,0,0.84,11.51,0,9.97,0,1.31,0.81,5.54,0.93,0,1.04,15.27,1.29,1.55,0,0.82,0,13.25,0,0,1.49,5.74,0,1.31,0,0,0,39.85,0,0,2.21,0,0,0,4.21,0,4.85
 96-106,0,0,5.23,0,20.1,107.75,0,40.58,0,6.41,5.42,11.84,8.58,0,2.77,24.53,5.28,4.05,1.4,0,4.66,67.52,3.32,0.96,4.23,30.94,0.6,2.49,3.37,0,2.06,111.15,0,0,2.58,0,5.69,1.82,28.87,0,3.47
108-118,0,0,0,0,4.59,45.53,0.44,30.65,0,4.98,8.24,8.06,3.25,0,0.52,18.65,0.7,5.14,0,4.84,0,92,2.46,1.16,5.14,20.09,0.86,2.19,0.96,0,0,63.29,0,0,3.48,0,0,0,7.64,3.41,14.37
120,0,0,1.73,3.17,12.25,46.63,0,60.56,15.17,19.61,4.32,10.77,17.27,0,0,36.28,7.12,6.66,1.77,10.16,0,69.98,0,0,1.2,69.58,0,0,2.34,0,11.67,105.64,0,0,2.05,0,12.02,2.55,35.4,0,11.96
