stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.96,13.68,0.89,0,6,0,0,1.95,0,0.81,0,0,0,0,3.61,7.48,0,0,4.67,98.93,1.78,0,2.14,4.63,7.72,9.18,0,17.31,17.58,0,2.14,0,0
 24-34,0,11.71,0.6,0,11.47,0,0,1.43,2.47,0,0,0,0,1.32,0,8.49,0,0,7.6,75.29,0,0.96,0.83,0,1.51,0,0,1.58,24.62,0,5.01,0,0
 36-46,0,2.14,0,0,15.43,0,0.96,5.27,0,0,0.87,1.85,0,0,6.31,8.95,0,0,4.16,60.2,0,0,0,0,1.52,0,0,0,11.36,0,1.76,0,0.57
 48-58,0,2.43,0,0,21.45,0,0,3.01,0,0,0.88,0,0,0.41,0,11.7,0,0.92,1.11,24.32,0,0.4,0,0,2.89,0,0,0,4.25,0,1.8,0,0
 60-70,0,2.5,0,0,25.15,7.38,0,0,3.81,0,0,0,0,0,0,7.12,0,0,4.49,28.25,1.09,0,0,0,17.15,0,0,0,2.35,0,0.63,0,0
 72-82,0,1.64,0,0,10.77,0,1.08,5.39,0,0,0.5,0,0.93,0,0,9.39,0,0,4.2,19.64,0,0,0,0,12.08,0,0.64,0,0,0,4.6,0.64,12.09
 84-94,1.04,3.54,9.78,0,23.58,0.9,0,1.3,1.94,0,1.45,2.5,0,0,0,16.75,1.94,0,4.29,17.41,0,0,0,0,45.18,0,0,0,0.75,0.69,3.29,0,8.24
 96-106,0,3.26,6.52,0,14.01,7.03,0,9.28,0,0,0.62,0,2.11,0.89,0,24.74,0.71,1.02,1.82,31.24,1.33,0,0.57,0,92.47,0,0,0,9.38,0,6.68,0,2.49
108-118,0,8.45,4.75,0,10.55,2.97,4.32,10.67,0.86,0,0.69,4.56,1.03,0,0,30.15,0.52,0,0.46,35.39,1.87,2.18,3.45,0,95.6,0,0,0,0,0,0.93,0,2.63
120,0,14.54,0,1.71,56.36,1.42,0,9.79,1.42,0,0,0,0,0,1.58,35.65,0,6.7,1.28,70.87,4.01,0,0,0,127.79,0,0,0,0,0,1.41,0,0
