stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.29,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71,0,0,0,5.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.41,7.22,0.83,5.38,0,0,0,0.85,0,0,0,0,0,1.02,0,2.8,0,1.25,17.73,1.65,0,0.85,0,0,2.91,0,1.37,5.46,0,0,0,0,0
 24-34,0,0,2.2,0,2.04,0,0,0.83,0,0,8.93,0,0,0,0,0,3.1,0,0.64,23.8,0,0,1.36,0,0,1.67,0,0,7.48,0,0,0,0,0
 36-46,0,0,3.49,0,0,0,0,0,2.25,0,0,0.57,0,0,0,0,8.54,0,0,17.04,1.47,0,0,0,0,0,0,0,8.17,0,0,0,0,0
 48-58,0,0,0.37,0,4.98,0,0,0,1.84,0,0,0,0,0,0,0,6.22,0,2.08,25.15,0.58,1.16,2.92,0,0,0.49,0,0,7.51,0,0,0,0,0
 60-70,0,0,0.68,0,13.68,0,0,0,3.74,0,0,0,0,1.03,0,0,16.38,1.96,1.54,9.45,0,1.5,0,0,0,0,0.62,0,3.99,0,0,0.72,0,0
 72-82,0,0,0,0,9.9,0,2.44,0,14.88,0,0.53,0.49,0,0,0,1.81,26.22,0,0,17.45,0,0,4.13,0,0,0,0,0,3.11,0,0,4.95,1.16,0
 84-94,0,0,0.66,0,17.17,0,0.66,0.94,7.33,0.69,0,1.65,0,0.8,2.07,2.81,39.35,0,3.26,33.74,5.65,0,1.3,0,0,2.37,0,0,9.13,0,0.71,4.06,0,0.74
 96-106,0,0,0.65,0,13.73,0,0,1.91,10.29,0,0,0.66,0,0,0,0.75,31.21,0,3.9,33.19,0,0,0.86,0,1.17,3.2,0,0,0.76,0,0,0.83,1.54,0
108-118,0,0,4.79,0,15.74,0.44,0,0,17.84,1.18,0,0,2.65,0,0.43,1.8,41.9,0,3.76,34.97,1.74,0,0.81,0,0,1.44,0,0,2.29,0.42,0,0.69,0,0
120,0,0,4.58,0,34.06,0,0,0,20.23,0,0,0,0,0,0,0,37.15,0,4.21,24.74,2.36,0,0,0,0,1.21,0,0,0,0,0,0,7.99,0
