stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,12.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,1.46,1.31,0.89,3.2,0,0,0,0
 24-34,0,0,0,0,0,0,0.89,0,0.98,0,0,1.13,0,0,27.1,0,33.93,1.03,0,0,0,7.7,0,0,6.05,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.17,0,65.51,0,0,0,0,3.71,0,0,0,0
 48-58,0,0,0,7.33,0,0,0.65,0,0.5,0,0,2.28,0,0.4,136.36,0,63.73,0,0,0,0,7.16,0,0,0,0
 60-70,0,0,0,13.68,0.99,0,1.19,0,1.66,0,0,7.7,0,0,352.72,0,57.31,1.63,0,2.17,0,35.79,0,0,0,0
 72-82,0,2.22,0.55,32.93,1.19,0,8.17,0,3.37,0.76,0,16.63,1.21,0,583.06,0,110.25,0.88,0,0.81,0,47.41,0,0.52,0,0
 84-94,0,2.84,2.03,38.26,0,0,3.61,0,0,0,0,12.1,0,0,428.42,0,114.97,0.96,0,0,0,24.24,0,0,0,0.74
 96-106,0,2.9,0,108.52,1.89,0,6.49,0,0,0.76,0,22.33,5.07,0,499.68,2.25,168.81,0.59,0,0,0,16.87,0,0,0,0
108-118,0,5.53,1.37,65.48,0,0,10.04,0.84,0,0,0,8.16,0,0,730.76,0,88.65,0,0,0,0.94,14.03,3,0,0,1.42
120,0,3.24,0,9.62,0,20.79,28.85,0,4.22,0,6.33,26.42,0,0,951.28,0,64.68,7,0,2.18,0,7.03,0,0,0,0
