stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,22.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.66,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,34.38,0,0,0,0,13.04,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,81.03,11.14,0,0,0,0,0,0
 14-21,0,0,8.13,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,1.57,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0
 48-58,0,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0.49,0,0,0.43,0,0
 60-70,0,0,41.18,0,0,1,0,0.58,0,0,0,0,0.73,0,0,0,9.14,0,0,0,0,0
 72-82,0,0.95,135.67,0,0,4.01,0,0.93,0,0,2.62,0.81,0,0,3.5,0,30.15,1.65,0,0,0,0
 84-94,0,0,398.96,2.01,0,0,7.58,1.83,0,0,30.11,1.91,7.57,0,12.46,0,78.57,0,0,0,1.7,0
 96-106,0,0,319.57,8.31,0,7,9.77,0,0.83,0,17.55,4.58,0,0.62,22.47,0,105.48,7.65,0,0,0.64,0
108-118,0,0,346.94,0,0,2.86,9.8,2.1,1.2,0,26.32,6.27,2.69,0,5.07,0,141.24,0,0,0,1.57,1.13
120,0,0,134.54,0,2.02,15.15,8.5,7.54,0,0,3.44,0,0,0,0,0,84.84,0,0,1.95,0,0
