stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,42.39,413.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.96,618.17,12.33,0,0,0,0,0,0,0,0,0,0,0,48.54,0,0,0,6.9,48.23,0,0,0,0,0
  7-9,6.46,0,3.95,0,0,16,0,0,0,3.56,0,0,0,0,107.19,4.25,0,0,20.19,0,0,0,0,0,0
 10-12,0,0,0,0,0,15.88,0,0,0,0,0,0,0,0,31.48,0,0,0,3.7,0,0,0,0,0,0
 14-21,0,0,0,1.48,1.03,3.15,0,0,1.26,0,3.03,1.68,0,0.86,13.15,0,0,0,0,1.09,1.32,1.32,8.4,7.38,1.85
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0.95,0,1.34,0,0,0,2.21,2.54
 36-46,0,0,0,0,0,0.57,0,0,0.65,0,0,0,0,0,31.15,0,0,0,0,2.01,0,0,0,1.13,1.49
 48-58,0,0,0,0.38,0,2.35,0,0,0,0,0,0.5,0,0,47.54,0,0,0,0,0.39,0,0,0,10.61,0
 60-70,0,0,0,0,0,7.15,0,0,1,0,0,1.52,0,0,71.84,0,1.12,0,0,0.83,0,0,0,2.25,10.7
 72-82,0,0,0,0,0,37.63,1.08,0.78,2.79,0,0,2.3,0.55,0,63.43,0,1.24,0,0,0.95,0,0,0,0,0
 84-94,0,0,0,0.96,0,10.56,0,0,0,0,0,10.29,0,0,28.05,0,0,0,0,2.44,0,0,0,3.01,0
 96-106,0,0,0,1.7,0,29.29,0,0,0,0,0,0.72,0,0,29.47,0,0,1.13,0,2.74,0,0,0,0,0
108-118,0,0,0,0,0,25.85,0,0,1.29,0,0,1.53,0,0,60.93,0,1.89,0,0,9.46,0,0,0,0,0.58
120,0,0,0,0,0,19.08,0,0,11.55,0,0,0,0,0,65.19,0,0,0,0,7.65,0,0,0,0,0
