stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,visceral.smooth.muscle
 14-21,1.25,0,0,1.58,0,0,0,21.08,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0
 24-34,2.64,0,0,3.42,0,0,0,6.4,1.46,0,0,0,0,0.89,0,0,0,0,0.94,0,0,0
 36-46,0.6,0,0,11.87,0,0,0,0,4.09,0,0,0,0,2.33,0,0,0,0,0,0,0.91,0
 48-58,0,0,0,81.22,0,0,0,0,2.64,0.47,0,0,0,2.61,0,1.65,0,0,0,0,0.59,0
 60-70,0,0,0,515.19,0,0.72,0,0,7.87,3.62,0,0,0,10.39,0,0,0,0,0,0,0,0
 72-82,0,0,0,1031.97,0,13.52,0,0,0.75,0.53,0,0,0,20.56,0,1.41,0,0,0,0,7.2,1.07
 84-94,1.34,0,0,745.45,0,5.77,0.62,0,0,9.75,0,2.75,0,25.46,0,0,0,0,0,1.41,2.82,2.3
 96-106,5.57,9.17,0.6,829.66,0,11.52,0,0,2.11,11.66,0,0,0,36.88,0,0,1.3,1.32,0,0,2.92,0
108-118,0.56,0,0,914.94,0.57,8.57,0,2.34,0.64,2.35,1.38,1.32,0.47,7.39,0.45,0,0,0,1.31,0,0,0
120,0,0,0,686.68,0,0,0,1.5,0,13.66,0,0,2.38,57.28,0,0,0,0,0,0,0,0
