stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,24.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.08,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,60.46,4.73,0,0,5.34,0,0,0,11.14,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.73,29.13,6.26,0.99,0,1.17,0,34.83,2.16,0,0.96,0,0.89,0,0,0,0,21.2,0,0,13.91,94.9,8.28,2.81,2.11,5.73,0,8.11,14.7,42.07,1.77,12.81,121.12,0,0,1.65,0,0
 24-34,0,0,0,0,11.35,0,6.34,0.68,0,0,32.56,0,0,0,0,0,0,0,0,0,21.37,0,0,10.81,144.98,3.89,12.7,1.45,0,1.14,0,0,11.45,3.07,1.28,82.45,0,0,4.49,0,0
 36-46,0,0,0,0,1.56,0,4.33,0.66,0,0.73,64.95,0.67,0,0.63,0,0.74,0,0,0,0,37.4,0,0,6.58,173.57,5.05,20.73,6.26,0,0,0,0,1.17,4.68,0,101.29,0,0,0,0,0
 48-58,0,0,0,0,0,0,30.58,2.49,0,0.4,48.4,0,0,1.16,0,0,0,0,0,0,27.44,0,1.37,1.71,164.45,0,9.26,0,0,0,1.56,0,1.45,1.86,0,68.7,0,0,1.79,0,0
 60-70,0,0,0,0,2.94,0,22.72,1.28,0,0.76,27.33,0,0,0,0,0,0,0,0,0,45.22,0,0.63,2.8,213.43,0,18.55,0.86,0,2.33,1.48,0,0,0,0,64.6,0,2.7,0.85,2.04,0
 72-82,0,0,1.47,0,1,0,23.61,0,2.44,0,42.51,0,0.52,1.16,0,2.95,0,1.8,0,0,56.06,0,1.97,1.23,190.98,0,18.97,3.78,0,1.61,6.01,0,0,0,0,20.7,0,0,2.01,1.49,0
 84-94,0,0,0,0,5.2,0,21.22,0.79,1.26,0,45.04,0.73,0,0,3.1,1.75,0.67,8.53,0,0,44.76,0,1.99,3.21,118.24,0.79,42.11,1.94,0,0,2.35,0,0,0,0,19.63,0.56,0,4.07,2.14,9.21
 96-106,0,0,1.93,0,16.94,17.54,26.18,1.45,0,0,42.43,2.4,0,0,1.67,3.23,0,9.34,12.88,1.34,61.71,0,0.93,1.77,89.04,0.85,40.74,4.6,0,0,12.78,0,2.64,0.64,0,9.87,0.61,0,13.3,0.69,0.8
108-118,0,0,0.52,0,8.31,0,33.55,0,3.51,0,66.91,0.98,0,2.95,3.79,1.64,0,5.59,0,0.97,56.84,0,3.24,2.01,144.05,1.72,41.93,2.63,0,1.05,5.38,0,0.42,3.63,0,27.95,2.3,0,2.22,0,0
120,0,0,0,0,4.79,0,33.58,0,1.31,0,30.1,1.21,0,0,1.06,1.63,3.91,2.12,0,0,54.6,1.46,2.58,10.8,286.47,6.68,29.45,0,0,0,15.36,0,2.89,0,0,7.5,0,0,4.18,0,0
