stage,blastomeres,glial,neural
  5-6,31.27,0,0
  7-9,0,0,10.49
 24-34,0,0,1.5
 36-46,0,0,0.99
 48-58,0,0,0.85
 60-70,0,2.01,1.27
 72-82,0,2.66,5.01
 84-94,0,0,2.48
 96-106,0,1.63,0
