stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0
 14-21,1.41,1.76,8.81,0,0,2.29,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0.81,28.11,3.34,0,0,0,0,1.85,0,3.42,4.85,0,0,0,0,0
 24-34,0,0,2.24,0,0,3.74,0,0,0,0,0,4.55,0,0.65,0,0,0,0,11.86,0,0,2.28,46.49,0.63,0,4.75,0,1.48,0,0.6,2.04,16.12,0,0,2.13,0,0
 36-46,0,0,0.65,0,0,9.92,0,4.2,0,10.36,0,0,0,0,0,0,0.57,0,2.03,0,0,14.84,121.72,1.65,1.14,1.46,0,5.82,0,0,0,14.34,0,0,0,0,1.94
 48-58,0,0,3.11,0,0,21.35,0,0,1.09,9.91,0,0,0,0,0,0.44,0,0.54,20.19,0,0,2.48,112.6,0,0,0,0,0.48,0,0,0,23.93,0,0,1.08,0,0
 60-70,0,0,0,0,0,77.54,0.66,0,0.72,6.83,0,3.33,0,0.56,0.63,3.82,0,0,6.75,0,0,0,90.32,0.63,1.08,0,0,0,0,0,0,11.66,0,0,0,0,0.77
 72-82,0,0,0,5.09,0,70.63,2.53,0.92,0.75,9.11,0,0,0,0,0,0,0,0,17.85,0.55,7.79,0.85,143.2,0,1.03,0,0,5.78,0,0,0,13.6,3.98,0.51,4.57,0.59,0
 84-94,0,0,4.07,0.67,0,61.44,0,0,6.15,7,1.06,0,0.75,0.73,0,0,0,4.83,26.37,0,3.35,3.7,89.92,0,0.71,1.2,0,16.69,0,0,0,9.47,1.6,0,0,2.73,0
 96-106,0,0,1.98,19.56,0.66,67.67,0,0,0.66,8.22,1.35,0,0,1,1.5,0,0,0,18.93,0,0,0.76,58.72,0,0,1.05,0,4.92,0,0,0,0,0,1.03,0,0.86,0
108-118,0,0,1.18,0,2.73,40.69,0,0,2.01,9.83,0,0.43,0.7,0,0.88,0,0,1.43,15.43,0,0,0,77.33,0.67,0.81,0,0,5.85,0,0,0,1.93,0.83,0,1.24,0.84,6.81
120,0,0,17.97,0,0,78.67,0,2.19,1.6,30.47,0,0,3.16,0,0,0,0,0,20.26,0,0,0,124.04,2.35,15.75,0,0,0,0,0,0,0,0,0,13.36,0,0
