stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,visceral.smooth.muscle
  3-4,49.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.58,0,3.18,0.57,0,0,0,0,0,0
 48-58,0,0,0,0,3.41,0,0,0,0,1.1,0.38,0.49,0,0,0,0,0,0,0
 60-70,0,0,0,0.84,13.43,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0
 72-82,0,0,0,8,56.28,0,0,0,0,5.87,2.72,5.95,0,0,0,0.49,0,0,1.73
 84-94,0,0,0,1.6,51.88,0.62,2.12,0,0,4.15,11.76,7.46,0,0,0,0,0,0,0
 96-106,0,2.83,7.8,0.86,83.68,0,0,0,0,0,13.17,22.34,1.22,10.66,2.69,0,0,0,0
108-118,0,1.34,0,1.4,99.53,0,0.66,0.6,0.98,5.05,55.52,23.11,1.63,0,0,0,0,0,0
120,0,1.19,0,0,133.09,0,0,0,0,17.72,12.95,19.58,0,0,0,0,0,3.5,0
