stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,27.96,80.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.59,126.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.49,0,0,0,25.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.85,6.18,0,0,18.84,8.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.65,0,31.02,0,0,0,21.57,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,148.38,0,0,0,23.88,0,0,0,9.63,0,5.96,0,0,0,0,0
 14-21,0,0,0,0,22.03,3.56,0,5.58,0,0.88,0,1.25,1.83,0,0,0,0,0,0,0,0,0.93,0,0,3.49,29.82,8.91,0,0,3.27,33.61,1.8,4.98,4.86,2.13,5.57,27.23,0,0,0,0
 24-34,0,0,0,1.65,33.43,0,0,2.06,0.93,9.68,0,2.08,0,6.16,1.58,0.9,0.62,0,0,0,1.64,0,2.11,0,5.5,84.4,83.34,2.14,0.84,0,165.19,0,0,0.6,8.99,6.56,3.56,0,0,0,0
 36-46,0,0,0,0,13.6,0,0,8.6,5.91,29.87,0,0,0,0,1.19,0,0,0,0,0,0,1.94,0,0,4.02,46.01,89.79,0,0,0,445.53,0,0,0,3.85,0,3.76,0,0,0,0
 48-58,0,0,0,0,9.27,9.08,0,11.44,15.89,12.57,0.46,0.8,1.28,0,0.51,0,7.84,0,1.27,1.04,3.73,14.65,3.43,1.67,1.29,60.13,127.61,0.47,0,0,393.93,0,0,0,3.89,0,9.57,0,0,0.38,0
 60-70,0.8,0,0,0,12.71,14.31,0,27.75,1.83,20.35,0,12.27,3.24,1.71,0,0,3.98,0,1.55,0,0,9.1,3.16,0,2.76,47.88,73.63,0,5.66,0,517.53,0,0,0,2.2,0,14.8,0,0,7.24,0
 72-82,0,0,0,0,7.01,170.87,0,59.95,0.6,17.42,0,8.89,1.18,0,0,0.52,2.97,4.36,0.58,0,0,12.44,13.11,1.96,20.01,25.46,45.06,0.95,0,0,427.53,0,0,0,0.5,0,8.02,0,0.63,0.66,0
 84-94,0,0,0,0,28.11,197.84,0,44.2,3.92,37.32,2.12,3.98,3.58,0,0,1.62,6.96,11.34,0,3.48,0,5.77,31.62,1.37,2.55,25.35,66.87,0,1.14,0,1017.21,2.8,0,1.45,6.82,0,2.67,2.5,1.37,0,2.86
 96-106,0,0,1.78,0,34.75,217.02,0,83.42,24.75,29.67,2.38,14.82,2.28,0,0,0,5.66,0.77,1.72,8.14,0,23.37,21.93,0.88,2.41,55.81,28.98,1.3,1.05,0,625.21,0,0,0,5.83,0,4.49,0,1.74,1.49,0
108-118,0,0,0,0.64,28.47,137.71,7.27,89.93,4.43,47.99,0.73,6.98,6.36,0,0,2.12,15.01,2.86,0.43,3.16,0,17.77,18.76,1.32,8.66,34.7,44.94,2.53,3.49,0,510.58,0,0,2.17,6.84,0,11.93,0.8,10.35,2.45,2.11
120,1.12,0,0,0,37.14,85.72,1.89,246.05,4.03,48.55,0,10.28,2.68,0,0,8.59,12.35,0,1.54,0,0,41.78,4.62,0,0,60.66,62.86,0,0,0,410.14,0,0,0,3.19,0,8.25,0,0,8.82,0
