stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,1.03,0.95,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,1.56,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,3.49,0,0,0,1.75,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0.37,0,0,0.93,0,9.34,0,0,0,0,0,0,0,0,0,0
 60-70,1.44,0,0,0,0,12.29,4.64,0,0,0.6,0,0,0,0,0,0,12.78,0,0,0,28.79,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.76,0,0,0,201.06,0.56,2.98,0,0,7.31,0,0,0,0,1.58,15.56,0,0,0.94,75.99,0,1.27,0,0,0,0,0,0,0.91,0
 84-94,0,0.66,0,1.65,6.13,454.55,16.36,0,0,0,17.29,0,0,0,0,0,0.77,0,1.87,0,92.44,0,1.83,0,3.82,0,0,2.87,0,0,0
 96-106,0,0,0,0,1.56,574.72,18.46,0,0,3.06,27.99,0.78,3.17,0,0,0,25.13,0,0,1.44,99.95,2.22,0,0,2.34,0,0,0,7.77,1.36,7.15
108-118,0,0.84,0,1.1,1.2,920.52,36.42,0,1.81,3.98,47.27,0.48,0,3.84,1.11,0,12.63,1.71,5.33,0,88.58,0,1.84,0.66,3.69,0,0.41,0,0,0,0
120,0,0,0,0,0,238.85,11.25,0,0,5.76,30.95,0,0,0,0,0,7.96,0,0,0,49.85,0,0,2.43,1.61,0,0,0,0,3.69,0
