stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.74,417.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4,0,0,0,0,0,0,0,0,0,0
  5-6,21.76,199.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,0,0.84,2.82,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,1.98,4.32,0,0,0.98,0,0,0.87,1.18,1.64,3.15,5.06,0.88,0,0,0,0,0
 24-34,0,0,0,0.67,0,14.92,1.63,0,0,0.92,0,0,1.22,1.29,0,2.46,0,5.99,16.62,0,6.2,16.75,5.86,0,6.87,0,0,1.26,0,1.59,2.69,3.69,3.84,0,0,1.21,0,3.75
 36-46,0,0,0,2.45,0,7.89,9.23,0,3.07,0,0,0,5.17,1.21,0,0,0,2.7,24.38,0,7.72,16.15,0,3.41,12.14,0,0,0,0,3.46,10.21,0,10.95,0,0,12.47,0,0.65
 48-58,0,0,0,0,0,22.16,9.5,2.48,1.18,4,0,0,6.2,0,0,2.01,0,3.96,20.56,0,8.2,28.93,1,0.44,5.34,0,0,4.33,0,0,7.51,0,2.1,0,0,9.63,0,22.16
 60-70,0,0,0,0,0,23.03,7.63,1.95,5.42,14.32,0,1.77,0,0,0,5.87,0,0.59,31.24,0,9.98,17.5,0,1.98,8.78,0,0,3.38,0,1.07,0,0,2.67,0,0,0,1.63,16.4
 72-82,0,0,0,3.83,4.67,29.28,6.49,0,6.03,82.02,0,0,2.64,7.1,6.21,3.9,0,5.52,80.76,1.15,8.39,10.69,0,0.74,16.15,0,0,1.42,0,4.52,3.51,0,3.86,0,0,9.83,0,32.4
 84-94,0,0,0,6.55,3.58,32.92,0.67,1.19,3.98,93.95,0,0,2.19,2.35,5.62,6.94,0,2.53,60.96,0.55,1.82,14.54,1.43,3.31,17.93,0,0,10.62,0,2.89,1.37,0,3.44,0,0,6.84,5.64,4.22
 96-106,0,0,0,0.61,0,43.48,3.49,1.33,4.04,170.4,0.74,0,0,8.42,1,9.92,0,0,48.95,2.28,5.47,40.41,0,2.24,14.22,0,0,9.33,0,0,1.81,0,0,0,0,10.44,2.34,16.5
108-118,0,0,1.03,4.78,0,47.81,4.46,1.21,0.94,200.69,0,0,0.51,3.84,11.98,3.63,0.43,0.48,69.64,0,9.44,26.12,0.48,4.02,15.89,0,2.37,1.78,0,1.64,0.94,0,2.82,0,0,2.63,2.5,9.34
120,1.12,0,0,4.84,0,22.53,19.16,0,0,271.48,1.41,0,5.1,1.63,0,3.83,5.44,0,94.55,0,14.06,45.51,0,1.32,32.2,0,0,2.75,0,0,1.21,0,0,1.81,1.54,24.53,4.27,0
