stage,blastomeres,endocrine_pancreas,epidermis,eye,gut,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,taste
  3-4,13,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.06,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.24,0,0,3.84,0,0,25.08,0,0,4.24,0,0,0
 10-12,0,0,0,12.94,0,0,16.83,0,0,26.29,0,0,0
 14-21,0,0,0.85,0,0,0,4.33,0,0,0,4.68,0.87,0
 24-34,0,0,0,0,0,0,4.16,0,0,0,0.82,0,0
 36-46,0,0,0,1.81,0,0,0,0.93,0,0,0,0,0
 48-58,0,0,0,0.41,0,0,0,0,0,0,0,0,0
 72-82,0,0.87,0,0,7.39,0.83,3.35,0,0,0,0.59,0,0.95
 84-94,0,0,0,0,2.68,0.98,0,0,0,0,1.81,0,0
 96-106,0,0,0,0,9.71,0,7.93,0,1.07,0,0.93,0,0
108-118,0,0,0.91,0.8,15.93,0,0.58,0,0,0,0,0,0
120,0,0,1.03,0,26.93,0,23.08,0,0,0,0,0,0
