stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,gut,ionocyte,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,xanthophores
  3-4,64.61,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0
  5-6,49.51,0,0,0,0,0,0,0,0,0,0,0,0,0,40.04,0,0,0,0
  7-9,0,0,15.06,0,0,0,0,0,0,0,0,34.17,0,26.7,76.6,0,0,0,0
 10-12,0,0,10.4,0,0,0,0,0,0,0,0,53.94,0,37.11,77.01,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.35,0,0,168.36,0.88,1.09,0,0
 24-34,0,0,0,0,0,0,0,0,11.75,0.8,1.44,8.68,0,0,49.15,0,0,0,0
 36-46,0,0,0,0,2.95,0,0,0,15.38,0,0,1.09,0,0,35.55,0,0,0,0
 48-58,0,0,0,0.43,0,0,0,0,27.38,1.89,0,1.05,0,0,3.07,0,0,0,0.54
 60-70,0,0,4.53,0,0,0,0,0,6.9,0,0,0,0,0,1.82,0,0,0,0
 72-82,0,1.5,0.51,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0
 84-94,0,0.95,0.62,0,0,0.82,0,0.59,5.36,0,0.69,1.26,0,0,0,0,0,0,0
 96-106,0,0.66,0,0,0,0,0,0,2.06,0.84,0,0,0.6,0,0,0,0,0,0
108-118,0,8.45,0.96,0,0,0,1.26,0,5.16,0.43,0,0,0,0,0,0,0,0.51,0.88
120,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0
