stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.85,0,0,0,1.17,0,16.14
 24-34,0,0,0,0.78,0,0,0,0,0,0,0,0.85,0,0,73.5,0,1.74,0,0,0.82,56.91
 36-46,0,0.76,0,1.79,0,1.11,0,0,0,1.14,0,2.07,0,0,177.04,0.57,0,0,0,0,94.86
 48-58,0,0,0,27.91,0,3.4,0,0,0,0,0,3.25,0,0,245.8,0,1.22,0,0,0,85.32
 60-70,0,0,0,323.95,0,4.37,0,0,0,0,0,5.29,0,0,342.57,0,0,0,1.17,0,80.69
 72-82,0.93,0.71,0,521.41,0,13.07,0,0,0,0,0,4.06,0,1.81,556.61,0,0,0,0,0,61.32
 84-94,0,3.43,0,442.47,0,14.71,0,0,0.83,0,0,1.22,1.01,0,309.63,0,0,0,0,0,70.83
 96-106,0.61,0,0,595.97,0,7.94,1.61,0.95,0,0,0,7.25,0,0,365.48,0,1.78,0,0,0,28.11
108-118,0,5.45,2.79,315.98,0,6.62,0,0,0,0,0,6.92,0,0,400.45,0.67,0.87,0.45,0,0,10.05
120,0,0,0,136.22,9.59,15.22,0,0,0,0,1.51,5.09,0,0,462.91,0,0,0,0,0,1.74
