stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.45,1489.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.34,0,0,0,0,0,0,0,0,0
  5-6,47.38,1386.03,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.23,0,0,0,9.2,12.69,0,0,0,0,0,0,0,0,0
  7-9,9.13,44.7,86.47,0,0,0,124.49,0,0,0,0,26.49,0,0,0,0,0,0,0,0,0,0,0,1151.23,20.58,0,0,573.66,0,7.8,0,0,0,0,0,0,0,0
 10-12,0,54.65,28.87,0,4.69,0,151.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867.5,3.1,0,0,299.59,0,9.34,0,24.56,0,0,0,0,0,0
 14-21,0,0,3.24,27.32,8.26,0,19.29,0,0,5.55,2.11,0,1.07,0,0,0,0,0,0,12.06,0,0,10.7,372.48,10.84,2.98,1.24,6.55,27.47,0,44.56,1.11,20.33,89.8,0,6.09,0,0
 24-34,0,0,1.68,25.25,5.38,0,80.87,0.78,0,18.47,0,0,3.82,3.53,0,0.63,0.72,0,0,57.49,0,0.81,21.61,1135.39,2.49,5.27,3.05,0,35.54,0,0.95,1.47,1.65,197.27,0,21.66,0,6.98
 36-46,0,0,0.56,30.29,0.67,0,293.3,0,0,21.66,0.74,0,0,0,0,0,0,0.62,0,59.32,0,1.48,12.57,823.69,0,2.41,2.31,0,57.44,0,0,0,0,178.07,0,8.34,0,1.52
 48-58,0,0,0,5.23,4.61,0,357.24,1.1,0,25.65,0,0,1.87,0.94,0,0.85,0,2.25,1.02,73.91,0.37,2.48,16.56,423.29,8.29,0.4,1.58,0,7.07,0,0,0.38,0,66.03,0,10.26,0,1.08
 60-70,0,0,0,8.48,4.64,2.15,262.7,1.25,7.21,40.75,2.22,0,0,4.52,0,1.16,0,1.06,0,40.94,0,4.08,1.63,215.04,2.65,0,0,0,1.58,0,0,0.6,0,6.69,0,4.19,0,13.33
 72-82,0,0,0,6.4,2.84,0,62.48,0,3.17,17.88,1.34,0,0.5,0,1.39,1.68,0,0.79,0,37.7,0.58,0,7.81,88.92,2.73,0.67,1.13,0,0.5,0,0,0,0,0.79,0,6.97,0,3.55
 84-94,0,0,0,11.51,0,0,64.87,0,1.01,40.78,4.62,0,0,0,1,0,0.81,0,0,23.05,0,7.66,6.78,111.96,0,0,0.78,0,8.69,0,0,0,0,1.08,0.83,2.2,0,0
 96-106,0,0,0,2.38,0,0,52.35,0,0,19.72,1.5,0,0,0.58,1.06,0,0,0,0,23.23,0,2.45,2.47,73.3,0,0.57,4.92,0,2.95,0,0,2.66,0,2.59,0,9.68,0,0
108-118,0,0,0,9.05,2.85,0.47,43.32,0,0,16.85,0.53,0,1.34,6.97,0.81,0.41,0,0,0,15.67,0,1.96,4.65,98.76,1.24,0.46,1.41,0,0.93,0,0,0.67,0,0,0,5.35,0,0
120,0,0,0,10.98,1.18,0,34.74,0,0,22.13,0,0,5.18,6.06,0,0,0,0,0,27.91,0,0,2.23,115.72,5.58,10.18,3.1,0,1.47,0,0,0,0,0,0,3.81,4.11,0
