stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,ionocyte,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,12.66,72.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,11.43,0,0,0,3.59,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.68,0,0,0,0,0,0
 14-21,0,0,0,0,2.71,0,0,0,0,8.72,0,0,0,0,0,1.79
 24-34,0,0,0,0,0.7,0,0,0,1.09,2.03,0.67,0,0,0,0,0
 36-46,0,0,0,1.67,0,0,0.64,0,0,19.67,0,0,0,0,0,0.7
 48-58,0,0,0.43,0.51,0,0,0,6.68,0,42.87,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0
 72-82,0,0,0.51,0,2.53,0,0,0,0,37.65,0,0,2.43,0,0,0
 84-94,0,0,1,1.69,5.03,0,0,0,0,71.43,0,0,2.03,0,2.07,0
 96-106,0,0,0,2.07,0,0,2.34,0,0,91.88,0,2.43,4.98,0,1.13,0
108-118,0,0,0.49,1.41,0,6.42,0,0,1.91,11.29,0,0,3.98,0,2.71,15.92
120,0,0,0,3.64,0,0,0,0,0,8.8,0,0,0,0,0,0
