stage,axial,blastomeres,endoderm,eye,glial,hatching.gland,lateral.line,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,176.77,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.13,221.42,0,0,0,0,0,0,9.31,0,0,0,0,0
  7-9,0,12.43,4.33,13.02,0,3.3,0,0,83.01,11.19,0,37.69,0,0
 10-12,0,0,0,22.79,0,0,0,0,77.78,0,0,17.99,3.1,0
 14-21,0,0,0,0,0.97,0,0,0,0,0,0,0,0,1.36
 24-34,0,0,0,0.79,0,0,0,0,2.02,0,0,0,0,5.21
 36-46,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.43,0,0,0.44,0,0,0
 60-70,0,0,0,0,0,0,2.61,0,7.94,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0
