stage,axial,blastomeres,epidermis,eye,glial,heart,iridophores,liver,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  5-6,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,34.18,0,0,11.02,0,0,0
 10-12,0,10.5,0,35.02,0,0,0,0,0,55.04,5.62,0,7.36,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,1.8,0
 24-34,0,0,0,0,0,0.86,0,0,0,8.63,0,0,0,0,0,0
 36-46,0,0,0,2.41,0,3.1,0,0,0.93,16.49,3.01,0,0,0,0,0.9
 48-58,0,0,0,13.83,0,0,0,0,0,29.02,3.52,0.62,0,0,0,1.89
 60-70,0,0,1.17,125.31,0.85,0,2.66,0,1.78,36.62,0,3.55,0,0,0,3.96
 72-82,0,0,0.49,74.69,0,0,0.57,0,2.51,40.6,0,1.06,0,0,0,0
 84-94,0,0,2,50.88,1.51,0,1.35,0,0,18.79,0,1.47,0,0,0,0
 96-106,0,0,0,76.96,0,0,0,0,5.62,18.66,2.03,2.34,0,0.62,0,0
108-118,0,0,2.44,35.16,1.15,0,0,0,1.38,30.69,0,2.01,0,0,0,0
120,0,0,0,3.14,0,0,0,9.22,0,35.73,0,3.07,0,0,0,0
