stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,4.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,5.23,0,0,20.48,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,1.08,0,0,0,0,0,0
 24-34,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,59.33,0,0,0,0,0,0,0,14.77,0,0,0,0,0
 36-46,0,0,13.39,0,1.85,0,0,0,0,0,0,0,0,0,0,0,158.53,2.72,0,0,0,0,0,0,26.93,0,0,0,0,0
 48-58,0,0,0,0,16.22,0.81,0,2.89,0,5.26,0,0,1.09,0,0,0,312.75,0,0.9,0,0,0.91,0,0,46.82,0,0,0,0,0
 60-70,0,0,0,0,110.51,0,0,9.49,0,0.65,0,0,2.02,0,0,0.75,606.21,0,0.7,0,0,0.77,0,0,43.23,0,0,0,0,0
 72-82,0,0,2.15,0,223.94,5.41,1.01,5.46,0,0.64,8.35,1.95,2.9,0,0,0,799.26,0,0,0,0,0,0,0,43.88,0,0.75,1.91,0,0
 84-94,0,0,0.6,0,170.27,0,1.19,7.51,0,0.78,0.71,0,6.11,0,0,0,668.14,0,0,0,0,0,0,0,40.16,0.9,0,0,4.46,0
 96-106,0,0,3.24,1.97,143.81,0,0,19.5,0,0,1.04,0,5.32,1.74,0,0,660.36,0,2.04,0,1.03,1.56,0,0,35.36,1.57,0,2.78,0,8.59
108-118,0,0,4.11,0,161.22,0,1.7,17.29,0.52,0,0,0,12.38,0,0,0,663.2,0,0,0,1,0,0.44,0,16.81,1.13,0,13.13,0,0
120,0,0,34.97,0,172.21,0,11.96,2.06,0,0,0,0,19.03,0,10.49,0,932.48,0,0,0,0,5.34,0,0,27.24,6.72,0,0,0,0
