stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,20.45,137.05,0,0,0,0,0,0,0,0,0,0,11.1,0
  5-6,0,95.88,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,11.57,0,0,0,0,0,0,73.98,0,7.72,0,0
 10-12,0,11.47,0,0,6,0,0,0,0,28.61,21.46,26.86,0,0
 14-21,0,0,0,0.96,0,0,0,0,0,1.09,0,0,0,0
 24-34,0,0,0,0,0.69,0,0,0,0,4.29,0,0,0,0
 36-46,0,0,0,0,2.38,0,0,0,0,4.1,0,0,0,0
 48-58,0,0,0,0,0.58,0,0,0,0,1.29,0,0,0,0
 60-70,0,0,0,0,6.94,0,0,0,0,0,0,0,0,4.07
 72-82,0,0,0,0,1.08,0,0,0,0,0.58,0,0,0,0
 84-94,0,0,0,0,1.02,0,0.6,9.59,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,2.64,0,0,0,6.13
108-118,0,0,0,0,0,0,0,0,1.69,0,0,0,0.47,0
120,0,0,0,0,0,11.98,0,0,0,3.83,0,0,0,0
