stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  7-9,0,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.15,0,0,7.6,4.49,0,0,0,0,0,0,0
 14-21,0,0,6.02,0,0.96,0,0,0.92,0.82,0,0,0.83,0,0,3.33,18.68,0,0.98,0,0,2.42,0,1.5,2.19,8.33,0,0
 24-34,0.71,0,0,0,2.29,0,0,0,0,0,0,0.76,0,0,1.14,16.43,0,0.67,0,0,0,0,0,1.1,7.24,0,0
 36-46,0,0,0,0,2.9,0,0,0.86,0,0,0.89,1.95,0,0,0,20.7,0,0,0,0,0,0,0,0,10.39,0,0
 48-58,0,0,0.44,0,16.53,0,0.84,2.67,0,0,0,0.62,0.47,0,4.96,38.33,0,0,0,0,0,0.43,0,0,5.1,0,0.48
 60-70,0,0,1.2,0,1.86,0,0,0,0,0,0,1.6,0,6.11,0,4.91,0,0,0,0,0,0,0,0,5.15,0,0
 72-82,0,0,0,0,7.27,0,0,1.22,0,0,0.6,0.83,0,0,0.94,17.87,0,1.31,0,0.56,0,0,0,0,1.52,0.56,0
 84-94,0,0,0,0,13.19,0.62,0,0,2.29,0,0,1.39,0,0,0,9.88,0,0,0,0.98,0,0,0,0,0,0,0
 96-106,0,0,2.25,5.31,1.3,0,0,0,0,0.65,0.92,5.24,0,0,0,11.25,1.76,0,0,0.7,0,0,0,0,1.69,0,0.87
108-118,0,0,2.15,0.99,6.9,0,0,0.59,0,0,0,1.81,0,0,0,17.18,0.7,1.4,0,0.82,0,0,0,0,0,0,0
120,0,0,0,0,3.49,0,0,2.03,0,0,0,0,0,0,0,29.94,0,0,0,0,0,0,0,0,0,0,0
