stage,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 24-34,0,0,0.9,0,0,0,0,0,0,0,5.25,2.67,0,0,0,1.09,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0.84,0
 48-58,0,0,0,0,0,0,0,0,1.89,0,11.96,0,0,0,0,1.45,1.82
 60-70,0,0,0,0,0,0,0,0,0,0,5.78,0,0,0,0,0,0
 72-82,1.56,1.95,0,1.24,0,0.6,0,0,0,0,5.11,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.67,0,0,0,7.82,0,0,0,0,0,0
 96-106,0,1.57,0,0,0,0,0,0,0,0,0,0,0.93,0,0.73,0,3.69
108-118,3.59,9.78,0,3.68,0,0,0,0.91,0.96,2.16,13.22,0.66,0,1.14,1.9,1.58,0
120,0,0,0,2.39,1.79,0,0,0,15.97,0,8.62,0,0,0,0,0,0
