stage,axial,blastomeres,endoderm,epidermis,eye,glial,muscle,neural,paraxial.mesoderm
  3-4,0,183.94,0,0,0,0,0,0,0
  5-6,13.23,107.09,0,0,0,0,0,0,0
  7-9,0,0,3.75,0,0,0,0,44.49,3.41
 10-12,0,0,0,0,0,0,0,0,8.67
 14-21,0,0,0,0,0,0,0,2.55,0
 48-58,0,0,0,0,0.96,0,0,0,0
 60-70,0,0,0,0.71,0,0,0,3.14,0
108-118,0,0,0,0,0,0,0.54,0,0
120,0,0,0,0,0,3.12,0,0,0
