stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.76,0,0,1.06,0,0,0,0,9.22,0,0,0,0,0,0,0,0,0,0,0,0.84,202.74,0,0,0,0,24.77,0,1.27,1.52,0,0,0,0,0
 24-34,0,0,1.18,25.02,0,0,2.26,0,0,0,3.64,42.77,0,3.83,0,0,0,30.71,1.64,6.39,0,0,2.74,66.27,80.48,1.76,0,0,1.82,731.34,0,0,4.35,0,0,2.44,0,0
 36-46,0,0,0,1.07,0,0,1.44,0,0,0,1.15,26.42,0.95,0,0,0,0,0,0,2.85,0,0,1.99,91.73,12.5,2.43,0,0,0.78,1267.17,0,0,6.04,0,0,0,0,0
 48-58,0,0,0,2.31,4.07,0,24.5,0,3.54,0.45,9.7,63.4,0,1.69,0,0,0,21.82,0,5.56,0,0.66,0.92,153.54,10.57,0,0,0,2.05,478.35,0,0,9.34,0,0,0.38,0,7.47
 60-70,0,1.51,0,7.43,1.48,0,43.69,0,0.76,5.17,4.17,302.57,0,0,9.74,0,1.16,151.6,0,27.18,0,0,0,209.55,0,0,0,0,17.56,757.85,0,0,12.44,0,0.67,15.51,0,5.24
 72-82,0,11.73,0,9.66,1.95,0,135.52,1.95,3.61,5.88,24.07,1114.8,0,0.5,0,2.2,0,19.69,0,44.83,1.12,1.81,4.21,429.44,0.52,0.58,10.83,2.26,14.26,481.91,0,0,24.46,1.89,1.57,13.17,0,0
 84-94,0,6.96,0.6,12.89,22.9,1.24,107.7,0,0,9.27,10.66,2279.62,0.8,4.09,9.59,0,0,54.43,0.96,47.03,2.96,2.96,2.52,272.13,0.66,4.83,1.37,0,19.15,3562.28,0,0,19.27,3.89,12.6,5.97,0,20.24
 96-106,0,55.82,0,26.73,63.86,0,208.76,2.06,0.58,0,51.04,4326.81,2.53,4.22,0.94,7.07,0.75,70.56,0.69,72.85,5.92,10.2,9.17,816.43,0,9.77,5.49,4.36,60.78,1619.33,0,0,9.05,2.87,0,8.56,3.47,23.22
108-118,0,14.91,0,17.28,19.78,8.64,129.78,3.94,10.02,4.23,36.24,6468.48,0,3.26,3.3,8.42,4.33,66.25,0.68,97.63,1.01,4.09,11.31,541.02,1.37,0,0.72,2.46,24.89,2061.35,0.86,0,12.68,3.03,3.18,6.34,2.43,2.31
120,7.1,7.34,0,21.61,21.34,4.65,166.08,0,0,1.66,46.44,4969.62,0,19.06,7.01,0,0,199.57,0,37.38,0,0,14.42,711.24,41.55,3.22,1.06,0,10.95,1651.74,0,0,5.23,0,0,24.7,5.66,1.64
