stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,0,44.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.84,87.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,54.74,0,13.75,0,0,0,0
 10-12,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,7.08,0,12.51,0,0,0,0
 24-34,0,0,0.6,0,0.92,0,0,0,0,0,0.89,7.12,2.05,0.96,6.8,0,0,52.81,1.04,0,0
 36-46,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,12.23,0,0,188.68,2.44,0,0
 48-58,0,0,0,0,2.36,0,0,0,0,0,0,0,0,0,12.38,0,0,76.38,0.79,0,0
 60-70,0,0,0,0,4.21,1.24,0,0,0,0,0.58,0.64,0,0,10.33,0,0,153.25,0,0,0
 72-82,0,0,0,0,0.84,0,0,0.71,0,6.28,0,0,6.88,0,14.59,0.49,0,28.1,0,0.83,0
 84-94,0,0,0,1.39,0,0,0,2.6,0,0,0,0,3.21,0,14.72,0,0,41.87,0,0,0
 96-106,0,0,0,0,0,0,0,2.74,0,0,0,0.79,0,0,2.5,0,0,7.36,0,0,0
108-118,0,0,2.03,0,4.6,0,0,7.62,0,0,0.84,0,0,0,4.02,1.45,0,18.29,0,0,0.82
120,0,0,9.88,0,0,1.42,9.54,22.03,0,0,0,0,1.63,0,21.94,0,0,42.43,0,0,0
