stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.13,0,0,0,0,0,1.5,0,0.99,0,0,0,0,0,0,0,0,21.22,0,0,1.98,0,0,3.65,0,0,3.52,6.32,0,0,0,0,0
 24-34,0,0.6,0,4.32,0,0,0,0,0,0.6,0,0,0,0,3.64,0,0,2.26,23.45,0,0,0,0,0,0,0.65,0.95,0,6.48,0,0,1.85,0,0
 36-46,0,0,0,2.14,1.39,0,0.76,0,0.57,2.06,0,0,0,0,1.39,0,1.32,0.75,47.53,0.88,1.31,0,0,0,0,0,0,0,8.82,0,0,0,0,1.91
 48-58,0.42,0,0,11.88,0,0,5.97,0,0.98,0.57,0,0.38,0.51,0,3.52,0,0,0,53,1.52,0,0,0,0,0,0,0,0,9.07,0,0,0.52,0,0
 60-70,0,0,0.65,17.09,1.33,1.34,4.53,0,0,1.92,1.42,0,0,0,8.7,1.14,0,0,29.81,2.62,0.94,0,0.84,0,0,0,0,0,3.66,0,0,0,0.98,0
 72-82,0.71,0.87,0.92,9.96,0.55,0.79,8.7,7.3,0.91,1.79,0,0,0,0,15.3,0,0.49,2.88,42.69,2.07,1.07,0,0,1.37,0,0,0,0,3.19,0,0.85,1.13,0,0
 84-94,0,4.85,0,6.75,0,0,4.4,10.89,0,5.73,0,0,0,0,4.86,3.28,1.22,1.41,31.7,0,0.95,0,0,0.75,0,0,0,0,17.13,1.14,0,0,0,2.54
 96-106,2.45,4.78,3.92,22.71,0,0.77,12.08,14.81,0,9.92,0,0,0,0.62,24.12,0,1.25,0.69,19.91,9.08,0.62,0,1.17,9.54,0,0,0,0,5.08,0,0,0.93,0.65,0
108-118,0,3.4,0,31.97,0.6,1.86,4.07,19.15,4.33,11.04,0,0.43,0,0,9.76,0,0,0,36.01,0,0,0,0,2.87,0,0,0,0,5.2,0,0,2.55,0,0.51
120,1.22,1.63,0,67.53,0,3.97,8.37,28.37,2,9.79,0,0,0,0,11.32,0,0,0,41.84,0,2.11,0,0,3.69,0,0,0,0,4.36,0,5.64,4.31,0,0
