stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,0,78.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.51,71.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,10.87,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,3.07,5.33,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0
 24-34,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0.78,1.43,0.96,0
 36-46,0,0,0,0,0.96,0,1.44,0,0,0,0,0,1.48,0,0,0,0,18.38,0,0,0,0,3.49,0,0,0,1.53,0,0
 48-58,0,0,0,0,2.68,0,3.58,0,0,0,0,0,0,6.44,1.72,0.8,0,13.02,0,0,0,0,0,0,0,0.4,5.23,0,0
 60-70,0,0,0,0,0,0,14.02,0,0.79,1.86,0,0,12.2,0,0,0,0,15.78,0,0,0,0,0,0,0,0,4.68,0,0
 72-82,0,0,0,0,0,0,7.85,0,6.53,0,0,0,0,0,0,0,0,21.93,0,0.54,0,1.31,0,0,0,0,2.34,1.81,0
 84-94,0,0,0,0,0.78,8.22,6.94,0.86,1.95,0,0,0,0,0,3.35,0,0.7,14.2,0.66,0,0,0,1.42,0,0,0,0,1.22,0
 96-106,0,0,0,0,0.74,0,10.78,0,0,0,0,0.58,0,0,0,0,0,5.27,0,0,0,0,1.37,0,0,0,3.32,0,0
108-118,0,0,2.91,0,0,0,9.48,0,2.45,0,0,0,0.57,0,0.89,0,0,3.23,3.53,0,0,0,0.9,0,0,0,0,5.16,0
120,0,0,0,0,5.89,0,15.05,0,0,0,0,1.72,0,0,0,0,0,19.86,0,0,0,0,0,0,0,0,0,0,6.17
