stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,174.07,2836.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.81,0,0,0,0,0,0,0,0,0,0
  5-6,121.98,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.72,0,0,0,0,0,33.75,0,0,0,0,0,0,0,0,0,0
  7-9,16.81,30.13,0,3.37,0,0,11.23,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,303.95,8.81,0,0,44.21,0,0,29.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.62,0,0,22.14,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,81.5,29.8,0,0,3.27,0,0,21.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.81,8.74,7.33,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0.88,0,0,42.8,17.08,0,0,0,0,0,1.77,1.19,0,0,0.84,9.86,0,12.61,0,0
 24-34,0,0,1.26,0,0.6,8.73,7.58,0,0,0,0,0.71,0,1.66,0,0,0,0,0.96,0,0.75,0,0.64,35.65,0,2.82,0.74,0,0,0.61,0,0,0.61,0.7,1.01,3.92,0,113.27,0,0.75
 36-46,0,0,0,0,0,0,5.54,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0.8,0,0.73,41.13,0,0.87,0.64,0,0,1.8,0,0,0,0,0,12.18,0,19.9,0,0
 48-58,0,0,0,0,0,1.83,30.1,0,0,0,0.89,0,0,0.82,0,0,0,0,0,0.88,0.46,0,0,25.27,0,1.77,0,0,0,0,0,0,0,0,0,6.19,0,9.77,0,0
 60-70,2.52,0,0,0,0.69,0,47.67,0,0,0,1.06,0,0,0,8.55,0,15.82,0,0,0,1.5,0,0,21.21,0,0,0,0,1.92,0,0,0,0,0,0,3.54,0,15.33,0,2.91
 72-82,0,0,0,0,2.51,6.73,57.75,1.07,0,0,6.38,0,0,1.84,6.69,0,18.71,0.55,0,0,6.74,0,0,53.09,0,0,0,0,0,0,0,0,0,0,0,3.34,0,41.25,0,0
 84-94,0,0,0,0,0.66,20.14,51.05,0.76,0.62,0,9.9,0,0,3.52,14.62,0,54.7,0,0,0,2.19,0.61,0,40.42,0,0,2.48,0,0,0,0,0,0,0,0,0.94,1.46,26.54,0,0
 96-106,0,0,0,0,4.43,18.17,61.48,0,0,0,4.52,0,0,13.02,9.42,0,122.55,0,2.51,0,10.01,0,5.77,27.27,0,1.59,0,0,0,7.91,0,0,0,0,0,4.81,0,71.6,0.65,1.41
108-118,0,0,0,0,7.19,19.42,56.99,0.42,0,2.97,6.11,0,0,6.47,15.34,0,222.4,0,0,0,29.67,0.94,2.17,35.74,2.35,1.52,0.63,0,0,0.9,0.48,0,2.63,0,0,1.22,0.9,53.31,0,1.26
120,0,0,0,0,5.09,0,29.87,0,0,0,7,0,0,0,64.6,1.72,125.35,0,0,0,6.72,5.52,0,55.25,0,0,0,0,0,0,0,0,0,0,0,0,1.94,112.46,0,0
