stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,124.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.08,0,0,0,0,0,0,0,0,0
  5-6,24.87,180.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.35,12.59,0,0,0,0,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.28,12.98,0,0,45.49,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,25.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.08,5.8,0,0,88.67,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.23,18.63,3.73,4.03,0,0,0,4.74,0,0,0,0,0,0,0,0,6.92,0,0,2.02,66.69,0,4.35,1.78,0.99,1.97,23.04,4.61,0,19.47,39.6,0,0,1,0
 24-34,0,0,0,0,0.72,0,7.43,0,0,0,4.82,0,0,0,0,0,0,0,0,3.36,0,0,1.23,38.44,0.6,3.02,2.6,0,6.26,0,0.97,0,1.39,24.4,0,0,2.56,0
 36-46,0,0,0,0,1.19,0,4.69,0,0,0,3.28,0,0,0,4.54,0,0.74,0,0,2.64,0,0,1.86,57.41,0.71,1.01,0,0,4.31,0,0,0,0,20.87,0,0,1.38,0
 48-58,0,0,0,0,5.02,0,10.25,0,0,0.83,8.27,1.69,0,0,3.13,0,0,1.48,0.99,7.3,0,0,0.43,23.3,0.5,4.37,0.7,0,15.56,0,0.84,1.01,0,27.98,0,0,0,0
 60-70,0,0,0,0,4.35,0,22.71,0.66,0.61,0,1.09,0,6.06,0,0,0,0,0,0,18.01,0,0,0,12.63,0,6.57,0,0,7.78,0,9.34,0,0,10.56,0,0,0,0
 72-82,0,0,0,0,0.62,0,12.2,0,0,1.88,8.8,0,0,0,0,0,0.53,0,0,15.85,1.52,0,1.1,8,0,14.17,2.95,0,1.53,0,3.58,0,0,6.03,1.16,0,0,0
 84-94,0,0,0,0,1.38,0,13.52,0,0.56,0.75,3.49,5.73,0,0,0.73,0,0,0,1.35,13.71,0,1.84,1.43,12.64,7.1,4.07,7.89,0,10.83,0,0,0,0,3.7,0,2.16,0.65,0
 96-106,0,0,0.94,0,1.18,0.68,9.35,0,0,0,7.26,0.96,0,0,0,0.71,0.65,0,0,9.63,0,0,0,32.31,0,0,2.9,0,8.39,0,0,0,0,7.66,0,1.03,2.67,1.69
108-118,0,0,0,0,10.72,0.66,12.09,1.32,1.67,1.16,14.01,3.12,0,0,0.48,0,0,4.11,0.54,23.8,0,1.88,0,17.46,0.45,5.24,2.73,0,7.12,0,0.54,0,0,2.77,0,0.63,0,0
120,0,0,0,0,24.66,0,7.17,0,1.42,0,3.07,21.81,0,2.3,2.37,0,2.98,0,0,27.32,0,0,0,29.8,1.08,10.62,1.25,0,10.43,0,5.27,0,0,0,0,0,0,0
