stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,45.01,1232.65,0,0,0,0,0,0,0,0,0,0,0,0,117.46,0,0,0,0,0
  5-6,45.4,256.04,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.22,0,10.85,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.06,0,0,0,19.14,0,0,0,0,0,1.13,3.77,0
 24-34,0,0,0,0,0.67,0,0,1.52,0,0,0,12.01,3.42,0,0.86,0,0,0.59,4.39,0
 36-46,0,0,0,0,0.79,0,0,5.54,0,0,1.11,15,7.21,0,0.57,0,0,0,11.69,0
 48-58,0,0,0,0,9.16,0,0,0.73,0,0,0,18.51,3.19,0,1.57,0,0,0,12.94,0
 60-70,0,0,0,0,13.19,0,0,10.26,0,0,0,22.36,2.54,0,1.86,0,0,0,3.93,1.05
 72-82,0,0,0,9.32,39.91,0,0.66,16.04,0,0,0.56,34.91,2.38,0,1.79,1.84,0,0,36.24,0.68
 84-94,0,0,0,9.33,13.49,0,3.81,7.55,0,1.23,0,40.11,1.71,0,8.18,0,0,0,16.24,0
 96-106,0,0,0.62,19.37,29.28,1.32,0,24.46,0.83,0,2.29,44.59,10.43,0,0,0,0,0,9.09,0
108-118,0,0,0.5,16.61,29.04,0,0,18.02,0.46,0,5.2,52.99,0.59,0,2.32,0.64,0.53,0,6.17,0.49
120,0,0,0,9.72,1.53,0,0,33.77,1.01,0,7.67,36.45,3.57,0,6.83,0,0,0,0,0
