stage,epidermis,eye,glial,immune,mesenchyme,neural,olfactory,otic,spinal_cord
 24-34,0,0,0,0,0,3.16,0,0,0
 36-46,0,0,0,0,0,27.08,0,0,0
 48-58,0,0,0.64,0,0.48,28.55,0,0,2.04
 60-70,0,3.11,0,0,0,23.82,0.73,0,4.06
 72-82,0,10.81,0,0,0.78,62.75,0,0,8.06
 84-94,0,12.31,0,0.98,0,39.6,0,0,0
 96-106,1.89,15.37,1.07,0,0,65.59,0,1.66,4.8
108-118,0,26.36,0,0,0.57,71.64,0,0,0
120,0,54.55,0,0,2.22,34.76,0,0,0
