stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,166.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.34,0,0,0,11.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0,0,33.76,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.1,4.79,0,0,0,0,0,1,2.24,0,0,0,0.92,1.05,0,1.85,10.91,6.17,0,0,0,0,0,0,0,0,3.5,1.96,0,0,0,0,0
 24-34,0,0,0,5.43,0.68,0,4.45,0,0,0,0,0.81,0,0,0,1.4,8.16,0,10.53,36.84,0,0.78,0.63,0,0,2.55,0,0,0,0,14.12,0,0,0,0,0
 36-46,0,0,0,0,0,0,3.19,10.74,0,0,0,0,0,0,0,0,2.41,0,2.46,76.71,0.57,0,0,0,0,0,0,0,0,0,8.32,0,0,0,0,0
 48-58,0,0,0,0,0.9,0,12.56,12.73,0.44,1.57,0,0,0,0,0,0,8.26,0,1.18,101.4,0,0,0,0,0.53,0,0,0,1.3,0,11.31,0,0,0.51,0,4.14
 60-70,0,0,0,0,0,0,44.51,8.15,0,2.49,2.38,0,0.57,0,0,0,5.75,0,1.32,214.31,0,0,0,0,0,0,0,0,0,0,22.34,0,2.2,0,2.49,0
 72-82,0,0.86,0,1.07,6.23,0,86.47,0.5,1.09,4.63,0,0,0,0.56,0,0,17.29,2.73,1.03,165.95,2.08,0.93,0.69,0,0,1.52,0,0,4.35,0,24.13,0,0,3.95,9.99,0
 84-94,0,0,0,0,0,0,42.69,1.75,1.27,10.59,0.89,0,0,0,0,1.69,12.77,0,2.2,121.07,1.62,4.36,0,0,0,2.66,0,0,0,0,3.74,0,3.72,0,4.68,0
 96-106,0,0,0,4.79,7.82,0,49.64,0.87,0,15.02,0,0,0,0.85,0,6.96,10.17,3.98,1.84,74.45,2.23,0.69,3.93,0,0,4.22,0,1.27,0,0,3.34,0,1.48,1.76,8.02,0
108-118,0,0,0.65,2.39,0,9.13,38.68,6.66,0,12.95,0.66,0,0,0.5,0.78,6.95,14.81,2.01,1.24,157.27,3.39,0,3.73,0,0,0,0,0,1.32,0,1.82,0.89,0.75,0,9.48,0
120,0,0,0,1,10.37,2.19,25.56,3.07,4.11,7.32,0,0,0,1.17,0,2.85,0,10.93,3.55,234.53,10.34,0,0,0,0,0,0,0,0,0,26.09,0,0,0,15.59,0
