stage,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,1.09,1.18,4.94,0,0,1,0.85,0,0,0,0,0,0,0,9.81,0,0.95,0,0,1.03,1.22,2.36,0,0,0
 24-34,0,0,0,0.78,0,0,4.01,0,0,0,0,0,5.04,0,1.4,49.72,0,0,0,0,0,0,3.95,0,0,0
 36-46,0,0,0.74,0.62,0,0.57,2.52,0.6,0,0,0,0,11.66,0,0,14.17,0,0,0,0,0,0,4.71,0,0,0
 48-58,0,0,0,0.49,0,0,8.09,0.88,0,0,5.43,0,9.77,0,0.51,4.25,0,0,0.61,0,0,0,3.14,0,0,0
 60-70,0,0,0,0,0,0,4.16,0,0,0,0,0,4.93,0,0,4.92,1.1,0,0,0,0,0,1.13,0,0,0
 72-82,0,0,0,0,0,0,1.44,0,0,4.27,0,0,11.38,0,0.8,13.96,0,0,0,0,0,0,3.87,0,2.04,0
 84-94,0,0,0.94,1.03,0,0,13.18,0,0.86,0,0,2.28,16.44,0,0.75,10.37,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.7,0,1,1.88,2.88,0,0.86,0,0,0,16.55,0,0,14.44,0,0,0,1.02,0,0,0,0,0,1.58
108-118,0.41,0,0.44,5.08,1.46,0.86,6.24,0,0,0.63,0.6,0,29.11,1.23,3.25,5.14,0,0,0,0.6,0,0,0,0,0,1.11
120,0,0,0,0,0,0,2.75,0,0,0,0,0,33.06,0,2.93,0,0,0,0,0,0,0,0,2.41,0,0
