stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pgc,vascular.smooth.muscle
  3-4,733.75,20533.17,0,0,0,0,0,0,0,491.35,0,0
  5-6,130.25,5596.64,0,0,0,0,239.26,0,0,174.33,0,0
  7-9,0,0,5.1,10.43,0,0,176.51,0,16.31,0,141.22,0
 10-12,0,0,0,0,0,0,3.12,0,0,0,39.45,0
 14-21,0,0,0,0,0,0.89,0,0.81,0,0,0,0
 36-46,0,0,0,0,0,0,1.51,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.96,0,0,0,0,0
 72-82,0,0,0,2.43,2.86,0,1.19,0,0,0,0,0
 84-94,0,0,0,0,0,0,4.71,0,0,0,0,0.69
 96-106,0,0,0,0,0,0,2.92,0,0,0,0,0
108-118,0,0,0,0,0,0,2.13,0,0,0,0,0
120,0,0,0,2.49,0,0,6.38,0,0,0,0,0
