stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,pericytes,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0.85,0,0,0,0,0,0,0,0,1.34,0,0,3.3,0,0,0.83,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.99,0,0,0.81,0,0,7.48,0,0,0,1.08,0,0.61,0
 36-46,0,0,0,0.6,6.8,0,0,0,0,43.15,4.73,0,0,6.42,0,0,0,1.06,0,1.85,0
 48-58,0,0,0.69,5.33,14.78,0,0.45,0.42,0,5.39,6.52,0,0,1.04,0,0,0,0.82,0,2.28,0
 60-70,0,0,4.66,7.52,23.75,0,0,0,0,6.3,48.26,0,0,2.35,0,4.08,0,0,0,0,0
 72-82,0,0,2.98,4.16,8.52,0,0,4.64,0,0,59.16,1.71,0,10.73,0,0,0,0.56,1.35,6.4,0
 84-94,0.62,0,6.65,9.08,9.53,0,0,2.29,0,0.83,52.37,0,0,1.9,0.62,0,0,0,0,4.58,0
 96-106,0,0,24.96,4.55,7.09,0.9,0,3.16,0,0,63.71,4.56,1.89,1.54,0,0,0,1.15,4.16,2.67,0
108-118,0,0,4.37,2.21,9.05,0,0,5.38,0.47,0,74.71,0.94,1.36,5.78,0,1.8,0,0,1.53,1.3,1.46
120,0,0,4.46,3.89,7.64,0,0,3.01,0,0,65.98,39.38,3.71,23.83,0,0,0,0,0,1.33,0
