stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.05,0,0,0,0
  7-9,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,22.79,8.25,0,0,40.91,0,5.34,0,0,0,0
 10-12,0,0,7.73,0,3.98,0,0,0,0,0,0,0,0,0,67.31,0,0,0,42.57,0,0,0,0,0,0
 14-21,0.89,0,2.32,25.86,0,0,0,0,0,0,1.02,0,0,0,1.09,3.25,0,0,0,0,0,0.92,0,3.87,0
 24-34,0,0,1.78,2.69,1.5,0,0,0,1.08,0,1.5,0,0,0,1.25,0,7.82,0,0,0,3.24,0,0.63,2.49,0.71
 36-46,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0.82,14.96,0,3.5,1.31,0,0,0,0,0,0.91,0
 48-58,0,0,0,1.28,1.34,1.15,0.61,0.61,1.39,0,0.64,0,0,0,2.51,0,3.54,0,0,0,0,0,0,0.79,0
 60-70,0,0,0,3.89,8.62,0,0,0,25.93,0,2.42,0,1.19,0,3.7,0,0,0,0,0,1.16,0,0,0,0
 72-82,0,0,0,0.53,12.44,1.72,0,0,1.14,0,3.46,0,0,0,5.29,0,3.21,0,0,0.87,2.64,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.02,0,7.29,0,0,0,5.8,0,2.71,0,0,0,1.4,0,0,0,0
 96-106,0,0,0,0.65,0,0,0,0,0,0,4.69,0,0,0,1.17,0,3.24,0,0,0,12.08,0,0,0,0
108-118,0,0,0,0,1.53,1.84,0,0,1.58,2.82,1.7,0,0,0,2.04,0,3.43,0,0,0,7.14,0,0,0,0
120,0,0,0,0,6.6,6.26,0,0,0,0,0,3.49,0,0,1.62,0,1.61,0,0,0,31.95,0,0,0,0
