stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,mesenchyme,neural,otic,paraxial_mesoderm,slow_muscle,somites,spinal_cord
  5-6,13.73,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,14.87,0,3.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,8.18,0,0,0
 14-21,0,4.24,0,0,0,0,1.46,0,0,0,0.81,0.98
 24-34,0,0,0,0,0,0.72,3.87,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.77,0,0,0,0,0.83
 48-58,0,0,0.99,0,0,0,8.22,0,0,0,0,0
 60-70,0,0,0.79,0.64,0,5.47,1.84,0,0,0,0,2.92
 72-82,0,0,0.54,0,1.51,2.13,0.92,0,0,1.69,0,0
 84-94,0,0,0,0,0,0,0,1.68,0,0,0,0
