stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0
 10-12,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,8.41,0,0,0,0,0,0
 14-21,0,2.89,0,0,0,0,0,0,0,0,0,0,0,1.7,1.07,0,1.67,1.35,1.78,2.3,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.65,0,0,2.03,9.43,0,3.16,0,0.66,0,0
 36-46,0,0,0,0,0,0,1.06,0,0,4.05,2.08,0,0,2.07,5.3,0,0,0,0,2.02,0
 48-58,0,6.84,0.41,0,2.85,0,0.99,0,0,0,1.84,0,0,0,1.12,0,0,0,0,0,0
 60-70,0,0,4.78,0,0,0,0,0,0,0,2.15,0,0,0,1.08,0,0,0,0,0,0
 72-82,0,0,0.56,0,0,0,0.72,0,0,0,6.09,0,0,0,0,0,0.49,0,0,0,1.58
 84-94,0,1.3,0,0,0,0,2.26,0,0,0,4.82,0,2.32,0,1.29,0,0,0,0,0,2.12
 96-106,5.6,0,1.71,0,0,0.8,3.39,0,0,0,0,0,0,0.74,2.11,0.71,0.88,0,0,0,0
108-118,0,3.95,0,0,1.43,0,0,3.96,0.76,0,2.52,0.98,0,1.63,1.83,0,0.5,0,0,0.45,0
120,0,0,0,1.33,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0
