stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,visceral.smooth.muscle
  3-4,17.61,946.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0
  5-6,47.97,641.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.12,0,0,0,0,0,10.17,0,0,0
  7-9,0,0,0,0,5.72,0,0,0,0,0,0,0,0,0,0,0,0,37.49,0,0,0,3.71,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.37,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.44,0.96,0,0,0,0,0,0,0,0,0,0,0,0,34.21,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.67,1.5,7.41,0,1.03,0,0,0,0,0,0,0,0,0,0,80.86,0,0,0,0,0,0,6.52,0,0
 36-46,0,0,0,0,0.72,0,1.06,0,0.76,0,0,0,0,0.88,0,0,0,76.71,0,0,0.57,0,0,0,10.92,0,0
 48-58,0,0,0,0,6.67,0,0.62,0,0,0,0,0,0,0.47,0,0,0,58.25,0,0,0,0,0,0,2.86,0,0
 60-70,0,0,0,0,2.88,1.03,18.36,0.63,0,0,0,0,0,0,0,0.7,0,118.12,0,0,0,0,0,0,4.1,1.62,0
 72-82,0,0,0,6.56,10.26,0,1.53,3.45,0.52,0,0,0,1.36,0,0,0,2.56,150.08,0,0,0.54,0,0,0.49,5.79,1.6,0
 84-94,0,0,0,0.76,18.1,0,3.19,2.2,0,0,0,0,0,0.96,0,1.77,0,180.03,0,0,3.25,0,0,2.29,10.88,8.03,1.13
 96-106,0,0,2.36,1.67,24.07,0,6.6,7.16,0,1.04,0,0,0,2.88,0,0,0,163.9,0,3.64,0.61,0,0,1.32,0,20.6,1.1
108-118,0,0,2.52,2.76,20.78,0,2.84,1.86,0,0,2.75,0.47,0,3.61,2.55,0,0,295.75,0.69,0.51,2.28,0,1.31,1.07,12.67,15.5,0
120,0,0,0,15.49,21.85,0,5.66,15.83,0,0,0,0,0,0,0,0,0,301.33,0,0,1.16,0,0,0,14.83,24.78,0
