stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.89,473.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.12,346.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.68,0,0,0,0,0,7.37,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,64.6,0,0,0,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,11.61,0,0,0,7.85,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.35,0,0,0,45.56,0,0,8.5,0,3.53,0,8.15,0,0,0,0,0,0
 14-21,0,0,1.29,3.43,41.14,1.8,6.42,0,0,3.03,1.75,0,1.07,0,0.86,0,0,0,0,10.91,0,0,4.61,163.24,9.11,4.03,1.09,1.78,0,16.38,0,21.35,3.56,11,50.3,58.01,0,0,15.48,0,0
 24-34,0,0,0,0.73,27.05,2,24.26,7.57,0.83,3.06,0,1.09,3.01,1.53,3.74,0,5.06,0,2.32,30.52,0.93,0,14.38,720.74,2.14,13.65,1.9,0,0,117.04,0,1.1,2.25,0.87,8.01,171.48,0,0,50.64,0,12.04
 36-46,0,0,0,0,13.88,0,81.84,0.68,0,33.07,0,0,0,1.9,6.1,1.95,0.86,1.74,0.61,38.1,0,0.67,9.02,1318.53,0,26.4,2.45,0,0,214.09,0,0,0.65,5.36,0,275.3,0,0,40.23,0,10.54
 48-58,0,0,0,0,11.97,0,213.48,10.59,3,60.91,4.06,5.04,1.33,0.79,10.39,0,1.2,2.23,4.23,84.81,0.39,5.1,12.81,1580.01,3.94,12.55,2.08,0,0,99.12,0,0,1.9,0,0,243.85,0,1.03,24.04,0,11.41
 60-70,0,0,0,0,27.77,0,400.93,5.13,6.32,59.1,2.77,0,0.7,2.16,1.23,6.41,0,0,2.61,55.93,3.18,5.48,19.2,1743.89,3.13,9.63,7.66,0,1.92,89.85,0,0,0.73,0,0,254.02,1.61,0,18.26,0.85,39.16
 72-82,0,0,0.54,0,13.15,6.1,450.98,4.77,4.48,46.47,4.26,0,0.82,6.82,1,1.66,2,3.61,6.03,81.47,3.21,3.44,4.1,1489.02,0,12.63,0.62,0,1.08,33.67,0,0,0,0,0,197.36,5.84,7.14,23.68,0,15.41
 84-94,0,0,0,0,23.08,1.42,310.98,8.1,0.58,64.17,10.05,0,1.92,9.4,9.83,4.33,0.78,0,4.36,83.19,16.34,4.79,0,1003,2.9,5.61,3.8,0,0,124.62,0,0,0.62,0,0,126.24,0,1.51,26.98,6.4,0
 96-106,0,0,3.77,0,18.87,15.57,310.13,3.26,0,43.07,4.21,0,4.09,18.85,2.75,12.38,2.5,0,0,93.99,7.89,2.73,1.14,1009.38,0,29.72,3.53,0,0,89.9,0,0,1.51,0,0,49.76,6.57,3.16,24.76,7.34,10.73
108-118,0,0,1.74,0,26.56,1.63,250.37,11.33,4.09,37.35,9.59,0,0,19.58,2.17,6.84,1.53,0.55,7.19,109.09,8.03,10.9,9.59,1136.19,1.2,10.97,6.85,0,7.21,84.62,0,0,0.76,0,0,31.2,14.28,0.63,42.98,5.65,12.45
120,2.82,0,5.46,0,37.65,0,325.07,12.43,0,55.61,8.6,0,0,37.81,8.22,5.77,4.83,7.47,0,79.4,3.52,10.49,5.24,1674.13,10.17,15.58,13.11,0,17.18,59.85,0,0,0,0,0,88.33,2.39,0,43.59,9,9.52
