stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.43,347.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.46,0,0,0,0,0,0,0,0,0,0
  5-6,86.85,1333.45,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.12,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0,0
  7-9,13.24,47.57,0,18.99,0,0,40.91,0,0,0,0,0,13.9,0,0,0,0,0,0,0,0,0,0,0,653.19,4.26,0,0,107.42,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,24.99,0,12.1,42.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443.9,28.15,0,0,137.51,0,0,0,27.9,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.36,43.64,11.99,23.8,0,0,0,4.34,1.83,0,1.13,0,1.16,0,0,0,0,26.75,0,0,33.91,349.69,8.96,2.71,6.83,5.33,0,2.44,32.03,3.06,0,38.57,100.79,0,0,1.26,0,0
 24-34,0,0,0,0.84,29.41,7.67,61.86,0,2.17,4.15,15.32,0.67,0,6.74,0,1.29,0,1.95,0,1.29,96.37,0.61,1.6,42.02,875.89,8.01,11.4,5.84,0,0.99,13.45,0,2.22,0,8.76,158.08,0,0,15.48,0,4.48
 36-46,0,0,0,0,25.02,12.66,79.9,0,13.25,1.17,67.86,0.58,0,1.64,0,0.61,0.86,0,2.66,0,79.61,0,3.7,12.24,622.07,0,5.36,7.71,0,0,5.48,2.14,3.62,0,0.75,103.49,0,0,23.79,0,1.44
 48-58,0.39,0,0,0,28.44,30.04,135.43,0.38,7.51,2.66,80.59,0,0,3.65,0.42,0.4,0,0.74,3.68,0,90.34,0,2.81,23.89,529.25,6.44,10.81,10.93,3.66,0,3.31,0,0.46,0,2.82,64.22,0,0,6.34,0,0.89
 60-70,0,0,0.89,0,17.53,15.93,166.63,0,11.32,5.73,65.05,1.4,0,0,0,1.1,2.06,0,0,0.72,127.68,2.85,6.64,7.88,527.76,2.31,10.04,9.06,0,1.08,4.21,0,2.03,0.64,0,59.67,0,2.12,14.34,2.76,5.05
 72-82,0,0,0,0,11.06,180.73,119.5,0.82,1.83,4.18,42.14,1.4,0,1.91,0.5,0.53,1.71,3.49,0,0,142.18,1.23,4.15,12.27,426.17,0,6.13,10.8,0,1.89,3.07,0,4.78,0,0,26.56,0.87,2.99,5.89,1.53,0
 84-94,0,0,0.81,0,14.54,87.77,73.1,0,3.48,0.75,45.58,4.33,0,0,3.36,0.68,0,0.58,0,0,114.3,1.78,5,8.79,248.92,2.32,0,10.23,0,0.83,3.3,0,1.29,0,0,8.05,0,0,4.7,2.63,1.02
 96-106,0,0,1.17,0,10.59,96.06,56.96,0.64,3.34,0.99,16.45,1.34,0,1.68,0.58,0,0.87,2.33,4.94,0,67.21,0,0.59,6.13,206.49,0.71,2.04,3.28,0,1.57,12.1,0,0.7,0,0,4.89,0,0,5.07,3.38,0.63
108-118,0,0,2.03,0,27.36,73.36,66.59,0.56,2.64,9.54,43.05,2.18,0,0,4.73,3.35,0,1.9,1.99,0,123.83,0,5.66,15.88,211.46,4.95,4.21,9.78,0,2.06,4.76,0,0,0,0,13.54,4.21,0,5.01,0,0
120,0,0,0,1.28,37.72,217.88,65.19,0,1.14,1.04,81.52,0,0,9.15,16.09,4.23,0,0,3.61,0,104.37,0,5.9,13.47,367.61,0,4.68,4.52,0,0,0,0,0,0,0,8.77,0,0,2.12,2.01,0
