stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.83,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.56,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.35,0,0,0,17.2,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.86,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,0,0,1.17,0,0,0,0,0,5.47,0,0,0,10.42,0,0,1.1,0,0,0.89,1.86,0,0,5.75,0,0,2.23,1.22,6.88,0,0,0,0
 24-34,0,0,0,7.25,0,0,1.77,0,0.64,0,0,0,5.85,0,0.89,0,222.99,10.05,0,1.06,0,0,0.98,28.95,0,0,76.16,0,0,0.6,0,1.51,0,0,0,0
 36-46,0,0,0,7.98,0,0,9.67,0,0,0,0,0,7.28,0,0,0,145.73,0,0,0,0,0,0,13.43,0,0,111.49,0,0,0,0,2.54,0,0,0,1.47
 48-58,0,0,0,0,0,0,7.91,0,0,0,0,1.43,17.34,0,0.39,0,52.64,0,0,1.27,0,0,0,1.8,0,0.97,66.33,0,0,2.29,0,2.06,0.37,0,0,0
 60-70,0,0,0,2.05,0,0,5.83,0,0,10.35,0,0,1.32,0,0,0,73.16,0,0,6.24,0,0,0,11.43,0,1.08,133.81,0,0,0,0,0,0.59,0,0,0
 72-82,0,0,0,0,2.46,0,18.06,0,2.88,8.7,0.51,0,1.88,0,0,0,85.75,0,0,6,0,0.7,0,15.88,0,1.09,174.96,0,0,2.1,0,0,2.47,0.96,0,0
 84-94,0,0,0,0.55,0,0,40.4,0,1.69,5.65,1.12,0,4.07,0,0.76,0,132.21,0,0,17.04,0,0,1.49,9.37,0,0,245.6,0,0,2.27,0,0,2.15,0,0,0
 96-106,0,0,0,2.51,4.39,2.04,13.15,0.73,0,22.25,4.06,0,1.27,0,3.52,0,225.63,0,0,6.71,1.15,2.45,1.04,12.02,0,0,301.98,0,1.3,0,0,0,0,0,1.22,0
108-118,0,0,0,2.21,0,3.07,16.19,0,0,18.44,0,0,1.51,0.49,3.05,1.26,149.42,3.99,2.47,2.53,0,0.66,0,35.83,0,0,227.76,0,0,0.95,0,4.86,0,0,0.56,0
120,0,0,0,0,0,0,31.95,7.8,0,43.63,0,0,3,1.73,0,0,150.5,0,0,1.34,0,0,7.15,22.98,1.17,0,192.72,0,0,0,0,0,1.46,1.14,0,0
