stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,11.1,193.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,206.28,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,8.03,16.73,0,0,0,0,0
  7-9,11.67,18.23,0,0,0,0,0,0,0,0,0,0,83.36,3.28,0,0,21.69,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,45.23,0,0,0,6.88,0,3.57,0,0,0,0
 14-21,0,0,0.95,4.95,1.69,5.44,0,0,1.39,0,1.11,2.3,50.58,0,0.93,0,1.09,0,5.88,0,3.38,13.89,0
 24-34,0,0,0,2.78,0,1.52,0,0,0,1.88,5.9,0,42.11,0.61,0.72,0.89,0,0.94,0,0.69,0,9.11,0
 36-46,0,0,0,0,0,4.34,0,0,0,0,2.03,1.14,8.58,0,0,0,0,0,0,0,0,2.86,2.45
 48-58,0,0,0,0.41,0,3.52,0,0,1.13,0,0.98,0.49,8.99,0,0,0,0,0.59,0,0,0,2.34,0.44
 60-70,0,0,0,0.88,0,0,0,0,0,0,0,0,2.64,0,0,0,0,2.91,0,0,0,0,0
 72-82,0,0,0,0,0,1.16,0,1.18,0.92,0,0,1.33,4.24,0,0,0,0,0,0,0,0,2.76,0
 84-94,0,0,0,0,0,0.59,0,0,1.51,0,0,0,5.87,0.89,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.15,0,1.17,0,0,0,2.81,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,3.7,0,0,0,0,2.55,0,6.64,0,0,1.65,0,0,0,0,0,0,0
