stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,40.68,284.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0
  5-6,0,126.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,22.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.86,0,0,0,7.28,0,0,0,0,0,0,0,0,0
 10-12,0,13.23,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,251.12,0,0,0,8.88,0,0,6.41,0,0,0,0,0,0
 14-21,0,0,0,4.55,146.37,0,0,0,0,0.82,0,0,0.97,1.19,0,0.82,0,0,1.16,0,0,1.01,3.14,0,0,0,3.37,0,41.56,0,2.71,0,0,0,0,0
 24-34,0,0,0,6.08,144.66,0,0,4.55,0,17.2,0.72,0,0,0,0,3.26,0,2.03,0,2.59,0,0.87,15.02,0,0,0,0,0,84.64,0,11.23,0.67,0,0,0,0
 36-46,0,0,0,0,143.28,0,0,3.7,0,26.11,0,0,1.28,0,0,2.4,0,1.07,0.78,2.46,0,0,19.74,0,0,0,0,0,148.58,0,4.54,2.42,0,0,0,0
 48-58,0,0,0,0,78.35,0,0,0.41,0,18.86,0,0,0,2.76,0,0.5,0,0,4.6,0.46,0,0,19.24,0,0,0,0,0,69.11,0,8.55,0.69,0,1.98,0,0
 60-70,0,0,1.1,0,91.6,0,0,5.5,1.01,33.38,0,4.25,7.06,0,0,13.9,0,0,0.7,0.87,0,0,15.15,0,1.12,0,0,0,67.85,0,3.48,9.89,0,0,0,0
 72-82,0,0,0,0,68.37,4.86,0,0.5,0,31.44,0,1.5,6.47,0.59,0.59,3.13,0.62,0,4.66,3.44,0,0,31.53,0,1.27,0,0,0.84,61.56,0,1.15,0,0.52,0.7,0,0
 84-94,0.62,0,2.37,0,105.17,0.78,0,6.6,0,57.63,1.01,0,16.04,0,1.69,6.44,0.81,0.74,11.24,2.87,0,0,11.73,1.3,0.61,0.59,0,0,232.16,0,2.51,0.98,0,0,1.44,0
 96-106,0,0,0,0,128.46,0,0.8,2.34,0,50.52,3.47,3.07,15.28,0,0,3.41,0,6.49,11.03,3.74,0,0,27.43,0.6,4.17,0.79,0,3.31,176.96,0,0.61,0,1.22,1.49,0,1.4
108-118,0,0,0,0,184.85,0,0.8,18.38,0,85.53,0,6.12,29.7,0,2.17,8.94,0,2.23,9.6,11.73,1.08,0,32.41,0.45,1.67,0.66,0,0,183.28,0,4.86,0,0.62,0.46,0,2.94
120,0,0,3.9,0,282.72,0,0,0,0,110.92,0,0,18.33,0,1.5,8.26,0,0,0,21.3,0,0,10.91,0,4.64,7.62,0,11.51,56.34,0,8.46,0,0,0,2.01,0
