stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord
  5-6,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,12.18,0,4.47,0,0,0
 24-34,0,0,0.65,3.18,0,0,0.89,0,0,0,0,0,0,0.86,0,0
 36-46,0,0,0,2.44,0,0.67,0,0,0,0,0,0,0,3.42,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,1.33,0
 60-70,0,0,0,6.01,0,0.57,0,1.57,0,0,1.95,0,0,0,0,0
 72-82,0,1.04,0,0,0,0,0,0,0.62,0,3.22,4.1,0,0,0,1.41
 84-94,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0.72,0,0
 96-106,0,0,0,0.6,1.79,0,0,0,0,1.64,0,2.77,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0
