stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,109.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,17.32,0,0,0,0,0,0,0,0
  7-9,7.32,7.81,0,12.11,0,0,0,5.12,0,0,0,0,13.59,0,0,0,0,0,0,0,0,106,19.65,0,92.03,0,5.34,0,0,0,0,0,0,0,0
 10-12,0,27.59,0,22.57,0,4.69,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,173.53,54.43,0,66.04,0,11.11,0,19.16,0,0,0,0,0,0
 14-21,0,0,0,1.01,5.79,0,0,4.14,0,0,0,0,0,0,0,1.73,0,0,0.86,0,0,4.91,0,0,0,0,0,1.87,0,2.22,2.97,1.04,0,1.17,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.66,0,2.09,31.22,5.61,0,0,5.46,0,0.75,1.21,0,0.69,0,0,0,0,0,0,0,0,0,0.64,0
 36-46,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,222.7,0,0,0,11.54,0,3.36,1.52,0,0,0,0,0,0,2.15,0,0,2.84,0,1.61,0
 48-58,0,0,0,0,0.37,0,0,2.39,0,0.64,0,0,0,0,178.98,0,0,0,23.23,0.51,2.59,3.49,0,0.44,0,0.45,0,0,0,0,0,1.72,1.28,0.5,0
 60-70,0,0,0,0,0,0,0,1.79,2.33,0,0,0,0,0.88,316.01,0,0,0,47.51,0,2.37,3.92,0,0,0,0,0,0,0,0,0,0,0,2.55,0
 72-82,0,0,0.58,0,0,0,0,8.4,0,3.69,1.58,5.6,0,0,249.62,0,0,0,42.26,0,1.48,14.91,0,0,0,0,0,0,3.5,0,0,1.41,2.43,0,1.51
 84-94,0,0,2.13,0,0.66,10.39,1.48,12.22,0,0,0,6.39,0,1.04,316.64,0,0,0,19.95,4.56,1.63,10.43,0,0,0,1.66,0,0,8,0,0,1.14,0,4.01,0.82
 96-106,0,0,1.23,0,0.77,0,0,5.26,0,0.81,4.81,12.78,0,0,401.79,0,0.87,1.39,38.27,2.28,3.85,15.04,0,1.3,0,0,0.77,0,3.86,0,0,0,0,4.65,2.14
108-118,0,0,0,0,1.16,0,0,1.38,0,1.68,2.32,12.38,0,0.74,248.71,0,0,0,32.93,3.25,1.96,14.22,0,0,0,2.15,0,0,2,0,0,0,0,1.97,0
120,0,0,0,0,1.24,0,0,0,0,0,0,12.47,0,0,454.92,0,0,0,26.98,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0
