stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,97.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.36,87.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.91,6.61,0,0,8.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0,16.07,5.8,0,0,5.66,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,1.32,193.42,0,0,0,0,0,0,8.23,0,7.26,0,0,0,0,0
 24-34,0,0,0.66,3.94,0,1.15,0,0,0.63,0,0,0,0,0,0,0,0,0.72,0,2.09,580.25,0.87,0,0,0,0,0.72,0,0,39.79,0,0,0,0,0
 36-46,0,0,0,2.38,0,14.85,0,0,11.92,0,0,1,0,0,1.15,0,0,16.38,0,0,1322.06,0,0,0,0,0,0,0,0.69,57.9,0,0,0,0,0
 48-58,0,0,0.68,3.32,0,71.45,0,0,24.59,0,0,2.33,0.64,0,3.99,7.23,0,13.9,0.53,0.64,2317.91,0,3.51,0,0,0,3.38,0,0,26.03,0,0,1.81,0,2.3
 60-70,0,0,0,0,0,161.65,0,1.48,16.29,0,0,0,0,0,1.96,0,0,16.06,0,0,3563.17,0,0,0,0,0,4.49,0,4.97,63.19,0,0,0,0,9.96
 72-82,0,0,1.22,9.08,4.91,280.52,0,0.85,39.79,0,0,0.81,7.31,0.57,2.26,0,4.12,25.79,0,3.55,4391.43,0,1.34,0,0,0,5.91,0,0,42.37,0,1.56,0,0,2.52
 84-94,0,0,0,6.67,8.48,195.57,0,0.67,25.71,0,0,0,0,2.66,1.71,0,0,6.93,1.01,1.52,2502.12,0,5.74,2.52,0,0,0,0,0,18.7,0,0,0.91,2.23,0
 96-106,0,0,0,7.19,1.08,198.54,0,0,50.9,0,0,0,0.95,0,4.66,9.82,0,17.28,0,0,2082.78,0,3.46,1.57,0,0,0.75,0,0,17.59,0,0,2.2,0,8.53
108-118,0,0,0,22.3,1.85,108.16,0.48,0.6,26.82,0.47,0,0,0,0,6.56,3.84,0,18.31,1.87,0,2399.17,1,1.23,2.42,0,2.37,1.67,0,0,9.33,0.51,0,0,0,0
120,0,0,0,74.66,0,181.69,0,50.96,13.83,0,0,0,4.22,0,4.01,5.65,0,20.25,0,0,3912.33,0,0,2,0,0,0,0,0,58.77,1.84,0,4.83,0,0
