stage,eye,glial,lateral_line,neural
 24-34,0,0,0,1.41
 48-58,0.85,0,0,11.67
 60-70,1.3,1.18,0,22.36
 72-82,4.25,0,0,15.53
 84-94,0,0,0,4.68
108-118,0,0,5.31,0
