stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,39.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,21.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.75,0,0,0,0,0,0,9.53,0,0,0,0,0,0
 14-21,0,0,0,4.39,0,4.79,0,0,0,1.77,0,0,0,0,0,1.05,4.09,0,6.69,75.85,1.24,0,1.02,0.82,0,2.56,0,3.89,34.67,0,2.01,0,0
 24-34,0,0,0,0,0,4.07,0,0,0,0.88,0,0,0,0,0,0,1.94,0,0,38.71,0,1.36,0,0,0,0,0,0,24.78,0,2.12,0,0
 36-46,0,0,0,2.25,0,2.64,0,0,0,0.63,0,0,0,0,0,0,2.15,0,0,88.69,0,1.21,0,0,0,0,0,0,43.66,0,0,0,0
 48-58,0,0,0,0,0,7.06,0,0,0,9.16,0,0,0,0,0,0,2.76,0,0,145.53,0,0,0,0,0.38,0,0,0,40.52,0,0,0,0.54
 60-70,0,0,0,0,0,15.81,0,0,0,35.64,0,0,0,0,0,0,6.6,0,0,173.72,0,0,0,0,0,0,0,0,63.18,0,0,0,0
 72-82,0,0,0,0,1.31,15.85,0,1.43,0,22.18,0.51,0,0,0.52,0,0,12.4,0,0.55,332.86,0,0,0,0,1.54,0,0,0,60.27,0,0,0,8.12
 84-94,0,0,0,0.83,0,21.55,7.04,0,0,8.2,0.92,0,0,0,0,0,8.32,0,0.68,184.88,0,0,0.92,0,1.86,0,0,0,59.01,1.13,0,0,0
 96-106,0,0,0,0.72,3.16,20.05,0,8.34,0.75,13.21,0,0.66,0,0,1.21,0,11.81,0,0,291.61,0,0,0,0,0,0,0,0,44.01,0,0,0,0
108-118,0,0,0,0,0,46.92,0,8.72,0,19.18,1.15,0.76,0.42,0.42,0,6.58,8.66,0,0.6,311.14,0,0,0,0,0.6,0,0,0,19.55,0,0,0.66,0.59
120,0,0,0,18.6,0,46.19,1.26,0,0,28.04,0,0,0,0,0,0,0,4.29,0,526.78,0,0,0,0,2.11,0,0,0,48.54,0,0,0,0
