stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,119.93,1735.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.72,0,0,0,0,0,0,0,0
  5-6,45.11,728.7,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,13.86,0,0,0,6.24,0,27.6,0,0,0,0,0,0,0,0
  7-9,8.86,42.39,8.11,0,0,68.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.15,12.7,0,0,49.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,17.4,0,0,17.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.19,0,0,0,72.65,0,0,16.41,11.24,0,0,0,0,0,0
 14-21,0,0,1.01,9.46,0.88,3.37,0,0,0.98,0.82,0,0,0,0.89,0,0,1.04,0,0,2.2,72.68,6.16,0,0,0,0,11.44,0,0,26.93,0,0,0,0,0
 24-34,0,0,0,1.67,0,10.25,2.15,0,3.41,0,0,0.62,0.6,2.32,0,0,4.98,0.7,0,2.63,176.7,0.64,4.92,1.88,0,0,22.79,0,0,54.03,0,0,2.79,0,1
 36-46,0,0,0,3.43,0,15.17,13.6,0,2.93,0,0,0,0,0,0,0,0.59,2.94,0,1.35,168.79,1.77,1.29,0.74,0,0,30.46,0,0.67,33.53,0,0,0,0,0
 48-58,0,0,0,7.48,0,35.36,1.89,1,2.98,0,0,0,0,0,0,0.49,7.23,1.26,0.55,0.61,127.96,0,0,0,0,0,39.64,0,0.47,23.12,0,0,0.88,0,0
 60-70,0,0,0,1.69,0,24.16,7.92,0,3.82,0.64,0,0,0,0,0,0,5.18,3.76,0,2.53,139.51,0,0,0,0,0,96.09,0,0,2.61,0,1.93,0,0,0
 72-82,0,0,0,7.26,0,23.61,3.2,3.1,10.59,1.38,0,0,0,0,0,0,10,1.88,0.55,0.61,75.91,1.26,0,1.14,0,0,86.11,0,4.86,2.22,1.34,0,0,0,0
 84-94,0,0,0,4.23,0,19.04,11.69,0,5.38,1.58,0,0,0.76,2.21,0.71,0,1.7,0,0,0,38.93,0.85,0,0,0,0,245.74,0,0.88,4.54,0.83,0,0,0,0
 96-106,0,0,0,15.37,0,17.39,17.38,0,4.15,1.27,0,0,1.8,0.66,0,0,5.67,7.37,0,0,72.45,2.08,0.63,0.63,0,2.69,205.02,0,0,2.09,1.22,0,0.57,1.41,0
108-118,0,0,0,7.08,0,18.92,15.49,3.23,0.46,0,0,0,0,0.67,0,0,1.61,0.87,0.97,1.15,34.99,1.07,0,2.18,0,0,91.96,0,0,0,2.73,0,0,0,0
120,0,0,0,8.05,0,11.73,12.66,0,3.92,8.09,0,0,0,0,0,0,0,0,2.35,0,73.72,4.72,0,0,0,0,82.48,0,0,0,0,0,0,0,0
