stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.02,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.23,0,0,0,0,12.51,0,0,0,0,0,0,0,0,0,0
 10-12,14.36,0,41.53,0,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690.87,0,0,0,35.11,13.95,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.13,514.78,0,0,4.96,0,6.12,0,6.84,2.4,1.4,0,0,3.88,0,0,0,1.85,0.82,0,0.82,127.68,0,0,0,0,80.24,0.91,3.93,0,2,41.47,0,0,0,0,0
 24-34,0,0,0.76,380.16,0,0,6.81,0,21.39,0,37.23,1.9,0,2.52,2.98,3.94,0,0,0,3.49,0,0,0,313.09,0,3.48,0,0,99.17,0,1.87,2.48,0,261.47,0,0,0,0,0
 36-46,0,0,0,232.76,0,0,5.43,0,31.2,0,54.6,0.59,0,1.67,10.6,7.87,0,0,0.59,2.55,2.49,0,1.07,245.73,0,12.18,0,0,69.97,0,8.9,0,0,326.93,0,0,0,0,0
 48-58,0,0,0,211.34,0,0,5.41,0,45.95,0,74.62,0,0,0,3.38,2.42,0,0.39,0.69,6.85,1.03,0,0,213.28,0,2.72,0,0,73.93,0,1.32,0,0,295.86,0,0,0,0,0
 60-70,0,0,0,187.24,0,0,51.58,0,57.04,0.84,235.08,4.04,0,0,13.29,2.65,0,0,0,2.1,2.82,1.42,1.41,92.28,0,1.95,0.86,0,104.47,0,1.06,0,0,99.67,0,0,0,0,0
 72-82,0,0.69,0,96.21,0,0,19.5,0.57,53.25,0,449.81,6.35,0,0,17.1,1.29,0,0,0.62,3.55,2.16,1.84,0,59.69,0,0,0,0,72.22,0,1.23,0,0,9.94,0,0.87,1.1,1.31,3.38
 84-94,0,5.58,0,260.81,1.36,1.64,21.62,0,58.92,0,279.76,13.75,0.77,0,14.54,5.6,0,0,2.15,2.97,0.57,2.55,1.33,39.71,0,0.69,0,0,195.23,0,2.35,0,0,12.47,0.9,1.8,0.83,1.26,0
 96-106,0,0,0,222.92,1.44,0.56,21.44,0,59.72,0,233.8,4.22,0,0,28.58,1.17,0,2.39,5.66,19.36,2.43,0,1.1,30.37,0,8.34,0,0,140.79,0,1.74,0,0,2.29,0,0,0,0,0
108-118,0,0.71,0,244.04,11.39,1.41,26.92,0,63.97,0,196.03,13.41,0,0,22.51,4.06,2.1,0.69,6.51,9.41,7.02,0,0,44.32,0.81,11.56,0,0,130,0,3.37,0,0,2.91,0.83,1.23,0,1.54,0
120,0,0,0,215.76,1.95,0,4.96,0,42.82,0,203.46,15.16,0,0,19.99,1.32,0,0,12.21,25.36,4.41,1.45,0,42.62,0,0,4.01,0,94.69,0,0,0,0,0,0,0,0,0,0
