stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.53,8.89,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.9,11.83,0,0,100.11,0,0,0,0,0,0,0,0,0
 10-12,0,20.47,0,30.22,0,0,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,83.55,76.54,0,0,316.07,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,0,3.96,0,0,1.49,0,0,1.09,0,0,0,0,0,0,0,6.73,0,14.47,26.21,59.45,0,0,16.03,0,7.75,0,11.52,67.04,0,0,0,0
 24-34,0,0,0,0,0,0.67,0,2.69,0,0,0,0,0,0,0,0,0,0,7.9,0,3.38,98.69,4.53,0,21.9,0,2.51,0,0,1.9,287.63,0,0,0,0
 36-46,0,0,0,0,0,0.7,0,4.9,0,0,0.87,0,0.88,0,0,0,0,0,2,0,0,141.36,0,10.69,12.87,0,0,0,0.63,0,300.4,0,0,0,0
 48-58,0,0,0,0,0,0,0,7.55,0,8.61,1.72,0,0,0,0,0,2.9,0,1.26,0,0,141.05,0,1.11,14.44,0,0,0,0,0,162.56,0,0,0.45,1.09
 60-70,0,0,0,0,0,0,0,18.3,0,0,2.64,0,0,0,0,0,5.4,0,7.1,0,0,114.97,0,4.08,14.9,0,0,0,0.58,0,85.58,0,0,0,0
 72-82,0,0,1.96,0,1.68,0,0,133.68,0,0,15.52,4.05,0,0,0,0,5.23,0.64,10.23,0,0,93.51,0,3.82,23.06,0,0,0,0,0,74.64,2.31,0,7.36,0
 84-94,0,0,7.34,0,0.87,0,0,192.91,0,0,19.04,4.28,0,0,0,0,4.63,0,5.67,0,4.53,109.58,0,4.09,35.42,0,0,0,0,0,21.27,0,0.71,0,0
 96-106,0,0,10.62,0,0,0,0,166.66,0,0,6.83,6.65,1.72,1.31,0,1.08,4.86,0,9.6,0.69,0,85.86,0,10.97,43.08,0,0,0,0.87,0,52.39,0,0,3.39,0
108-118,0,0,5.06,0,0,0,1.86,164.74,1.29,0,17.33,15.64,0,0.82,0.67,0.47,5.59,0,10.95,0,0,134.47,0.47,3.55,47.72,0,1.12,0,0.54,0,11.07,0.81,0,7.34,0
120,0,0,1.22,0,1.69,0,0,153.77,0,0,38.01,15.16,0,0,0,0,0,1.08,11.74,0,0,145.22,0,11.58,86.87,0,0,0,0,0,25.74,1.39,0,0,0
