stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,43.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,8.98,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.44,0,0,34.11,0,0,8.21,0,0,0,0,0,0,0,0
 14-21,0,0.9,0,0,1.89,15.92,0,0,0,0,0,1,0,0,0,0,0,0,0,3.23,0,2.21,48.84,0,1.91,2.29,0,124.45,10.49,1.23,29.03,240.6,0,0,0,0,0
 24-34,0,0,0,0,5.94,1.45,0,3.14,0,1.2,3.83,0,0,0,0,0,4.82,0,0,9.51,0,7.03,293.13,2.43,11.4,0,4.62,0,8.62,0,37.67,743.81,0,0,1.71,0,0
 36-46,0,0,0,0.84,3.96,0,0,5.44,0,0,0,4.44,0,0,0,0,11.07,0,0,14.21,0,20.08,470.15,0,11.78,0,0,0,3.41,0,0.83,703.78,0,0,1.81,0,0
 48-58,0.58,0,0,0,2.84,0,0,22.06,0,0,0.46,5.72,0,0,0,0.46,16.85,0,6.11,29.34,4.37,31.63,759.36,0,12.51,0,2.89,0,3.07,0,0,352.11,0,0,7.59,0,0
 60-70,0,0,0,0,1.82,0,0,101.15,0,0,2.35,25.13,0,0,0,0,6.72,0,0,42.19,0,22.77,1043.82,2.48,10.6,0,0,0,10.87,0,0,294.63,0,0,0,0,6.86
 72-82,0,0,2.8,0,5.7,0,0,155.71,0,4.73,0,20.99,0,0,0,0,44.35,1.92,0,75.85,0,25.08,1086.54,0,12.52,0,0,0,0.57,0,0,147.37,1.36,0,0,1.42,0
 84-94,0,0,3.28,0,12.6,0,0.78,120.32,0,0.58,0,28.42,0,0,0,0,16.73,0.89,0,44.57,0.57,27.18,842.65,0,11.52,0,0,0,3.48,0,0,125.01,3.81,0,0,0,0
 96-106,0,0,3.71,0,4.64,0,1.57,140.96,0.86,0,0,22.91,1.47,0,0,0,28.49,8.27,0,63.23,1.82,16.3,608.87,2.91,9.37,0,0,0,3.9,0,0,71.53,0,0,1.29,0,0
108-118,0,0,2.57,0,19.81,0,0,218.74,1.3,0.63,1.3,51.94,0.61,0,1.31,0,35.18,7.97,0,43.06,0,3.78,742.96,0,8.5,0,0,0,0.43,0,0,63.42,1.35,1.53,3.85,0,0.92
120,1.12,0,6.93,0,24.46,0,0,196.28,0,0,0,41.98,4.04,0,0,0,7.72,0,0,118.3,0,12.22,977.3,0,5.85,0,0,0,1.74,0,0,92.68,0,0,1.07,0,0
