stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,hatching.gland,heart,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,0,117.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.93,142.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,13.38,0,0,0,0,0,25.1,5.62,0,0,0,0,0,0,0
 10-12,0,6.96,0,0,6.18,0,0,0,0,0,0,0,0,0,45.45,0,0,0,9.3,0,0,0,0
 14-21,0,0,0,0,0.95,0,0,0,0,0,0,0,0,1.05,11.44,0,0,0,0,0.89,2.38,2.81,0.98
 24-34,0,0,0,0,0,0,0.74,0.61,0,0,0,2.66,0,0,11.14,0,0,0,0,1.07,3.94,0,0.93
 36-46,0,0,0.98,0,0,0,0.82,10.68,0,0,0,0,0,0,6.07,1.6,1.12,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.77,0,0,0,0,0,1.05,0,2.69,0,0,0,0,0,0,0,1.04
 60-70,0,0,0,0.9,0,0,0,0,0,0.75,0,0,0,0,8.86,0,0,1.58,0,0,0,0,1.94
 72-82,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.02,0,0,0,1.48,0.9,3.08,0,0,0,0,0.71,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0.98,0,2,2.36,0,0,0,0,0
108-118,0,0,0,0,0,1.87,6.15,1.15,0,0,1.87,0,0,0,6.56,0,0,4.39,0,0,0,0,0
120,0,0,0,0,0,14.33,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0
