stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,299.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,179.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,7.36,0,0,0,0,0,0,0
  7-9,0,3.2,0,0,28.84,0,0,0,0,0,0,0,0,0,0,0,0,0,48.28,3.63,0,0,29.69,0,9.58,0,0,0,0,0,0
 10-12,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,54.13,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.72,0.86,0,0,0,0,0,0,0,3.38,0,0,0,1.01,6.19,10.03,0,0,0,0,0,0,0.98,0,0,6.77,0,0.98
 24-34,0,0,0,0,1.32,0,0,0,0,0,0,0,45.2,0,0,1.86,2.47,0.69,27.46,0,0,0,0,0,0,0,0,0.8,1.6,0,0
 36-46,0,0,0,0,2.2,1.75,0,0,0,0,0,0,76.6,0,0,0,1.27,0,22.56,0,0.89,0,0,0,0,0,0,0,1.24,0,0
 48-58,0,0,0,0,9.52,0,0,0.5,0,0.39,0,0,159.55,0.49,0,0,1.98,0.5,22.95,0,0,0,0,4.8,0,0,2.07,0,2.45,0,8.91
 60-70,0,0,0,0,6.16,0,0,2.2,0,0,0,0,427.5,0,0,0,0.81,0,25.52,0,2.33,0,0,0,0,0,0,0,2.46,0,4.2
 72-82,0,0,0,0.55,4.41,0,0.64,0,0.53,0,0.49,0,306.36,0,0,0,2.04,0,26.33,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0.58,4.39,13.59,0,0,0.57,0,0,0,0,453.08,0,0,0,12.29,0,2.61,0,0,3.83,0,1.55,0,0,0,0,0,0,0.7
 96-106,0,0,0,7.72,4.87,0,0,0,0,0,0,0,425.24,0,3.5,0,0,0,11.87,0.85,0,0,0,1.76,0,0,0,0,0,0,0
108-118,0,0,1.79,2.08,4.46,0,0,1.93,0,0,1.55,4.1,667.43,0,0,0,7.22,0.6,17.36,0,0,1.66,0,0.54,0,0,0,0,2.44,0,0
120,0,0,1.89,1.25,36.5,0,0,0,0,0,0,0,486.78,0,0,0,5.11,0,2.18,0,0,0,0,1.06,0,0,0,0,9.04,14.59,0
