stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.08,1.03,0.81,0.97,0,9.3,5.56,0,0,0,0
 24-34,0,1.43,0,0,0,5.66,0,0,0,0,0,0,0,0,0,0,4.75,0,2.13,0,0,113,7.1,1.06,0,0,8.34,27.49,0,1.24,0,0
 36-46,0,0,0,0.58,0,18.04,0,0,0,1.91,0,0.75,0.89,0,0,0,0,2.54,0,0,0.9,361.87,4.02,0,0,0,1.69,50.61,0,0.64,0,1.59
 48-58,1.29,0,1.02,0,0,58.36,0,0,0.88,3.6,0,0,0.85,0.39,0,0,0,2.48,3.11,0,0,392.06,4.22,0,0,0,3.99,92.69,0,1.16,0,10.47
 60-70,0,1.51,1,0,0,151.8,0,0,0,11.77,0,0,4.97,0,0.79,0,0,0,1.27,0,0,659.12,2.25,0,0,0,7.88,90.19,0,1.48,0,15.93
 72-82,0,1.15,2.16,0,0,144.47,0,0,0,18.74,0,0,0.83,0,1.91,0.53,0,0,2.73,0,0,436.01,6.5,0.78,0,0.71,3.17,52.91,0,4.73,0,8.8
 84-94,0,0,3.07,10.39,0,169.65,0,0,0.67,23.23,0,0,2.71,1.94,1.3,0,0,3.64,3.95,0,0,308.43,4.38,0,0,0,5.38,60.64,0,1.62,0.82,3.43
 96-106,0,1.62,4.64,0,0,87.08,0.57,0,0,12.81,0,0,3.85,0,2.57,3.16,0,1.06,1.85,0.98,0,248.24,4.5,0,0,0,21.2,21.62,0,0.57,0,23.34
108-118,0,0,1.09,0,6.08,74.62,0,0,0,22.39,5.04,0,3.56,0,5.05,0.47,0,0,5.96,5.5,0,321.06,5.36,3.71,0,0,8.66,6.75,4.38,4.9,0,13.06
120,0,0,0,0,0,130.78,0,1.62,0,35.68,0,0,14.44,1.77,19.78,0,0,0,0,0,0,272.24,0,20.54,0,0,11.68,0,0,1.33,0,9.68
