stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0
  5-6,28.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,0,0,0,0,0,0,0
  7-9,0,41.28,0,0,0,0,0,0,0,0,154.87,0,0,0,0,0,0,0,0,0,0,20.7,0,0,0,4.84,0,3.76,0,0,0,0,0,0,0
 10-12,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.24,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.41,0,0,0,0,0,0,0,0,0,6.39,0,0,0,0,1.6,0,0,0.81,31.14,0,0,0,0,0,1.04,0,26.47,0,0,0,0,0
 24-34,0,0,0.61,0,15.27,0,0.94,0,0.93,0,0,0,27.6,0,0,8.52,0,0,6.49,0,0.67,106.75,0,2.32,0,0,0,0,1.86,107.1,0,0,0,0,0
 36-46,0,0,8.64,0,32.36,0,0,0,4,0,0,0,16.32,0,0,0,2.07,0,0,0,0,200.93,0,0,0,0,0,3.75,2.72,104.48,0,0,0,0,0
 48-58,0,0,2.09,0,36.16,0.67,3.95,0.9,6.85,0,0,0,3.15,0.43,0,0,0,2.01,0,0,6.48,203.61,0,0,0,0,0,0.81,1.79,100.34,0,0,0,0,0
 60-70,0,0,5.35,0,156.24,0,0,0,12.7,2.25,0,0,8.14,0,0,0,0,11.34,0,0.99,0,243.24,0,0,1.09,0,0,5.16,0.65,111.12,0,0,0,0,0
 72-82,0,0,0.68,0,445.69,0,0,2.72,18.47,4.43,0,0.63,13.98,0,0,0,0,15.01,0.49,4.32,0,277.86,0,0.76,0,0,0,0,0.84,136.01,0,0,0,0.76,7.11
 84-94,0,0,3.65,0,484.29,7.13,0,3.07,13.56,24.25,0,0,22.35,0,0,0,0,19,0.65,0.57,0,204.28,0,0,3.63,0,0,9.04,5.33,106.24,0,1.34,0,0,0
 96-106,0,0,9.65,0,709.75,1.34,0.9,0,50.83,6.94,0,0,28.29,0.77,0,7.38,0,21.76,0,0,2.23,255.86,0,1.03,5.55,0,7.06,11.21,5.4,52.39,2.03,0,0.99,0,7.45
108-118,0,0,3.3,3.33,669.31,0.49,0.9,1.5,34.12,12.97,0,1.65,46.05,0,1.45,0,0,9.24,0,1.75,6.82,247.31,0.46,0,2.83,0,0,11.31,5.61,53.63,0,0,1.57,0.72,0
120,0,0,20.51,2.89,386.11,1.99,0,0,139.45,8.24,0,0,38.61,0,1.74,0,0,14.28,0,0,3.67,620.72,0,1.54,0,0,0,6.96,4.69,142.11,0,0,6.81,0,0
